,geo,tweet,user_handle,location,cleaned_tweets
570,,"RT @wsly_dzr: Me waking up every morning with no covid-19 symptoms
 https://t.co/MOss5RdXof",IIMTEEE,, dzr me waking up every morning with no covid symptoms
571,,ACTS OF KINDNESS DURING CORONA INITIATIVE - Caught doing good in #Bruderheim!! #OldCountrySausage found a commercia… https://t.co/nwTwsdBh3C,Bruderheim,"Alberta, Canada",acts of kindness during corona initiative caught doing good in bruderheim oldcountrysausage found a commercia
572,,RT @jamesgagg: Such a simple message that could have such a huge impact. @MusgrovePark @SomParNHS #Covid_19 #NHSCovidHeroes #StayHomeSaveLi…,anna_annabav,"Taunton, Somerset", such a simple message that could have such a huge impact covid nhscovidheroes stayhomesaveli
573,,@SurvivalGirl1 @jeffmopope @wolfer63 @gaslightingus2 @RandPaul For COVID-19 or syphilis?,jason_rail,"California, USA",for covid or syphilis
574,,RT @bobehayes: My 96-year-old mom tested positive for #Covid_19. She's got a cough and slight fever. Her nursing home is under quarantine;…,phierce4thought,Toronto is Home, my year old mom tested positive for covid she s got a cough and slight fever her nursing home is under quarantine
575,,Dill and my mom have lost their jobs because of COVID-19. Stay the fuck inside.,KalleeTomes4,The next Olivia Pope.,dill and my mom have lost their jobs because of covid stay the fuck inside
576,,RT @AskAnshul: A man who is suspected of Covid-19 virus after returning from London said that many students took paracetamol before landing…,ANationalist5,"Indore, India", a man who is suspected of covid virus after returning from london said that many students took paracetamol before landing
577,,RT @bobehayes: My 96-year-old mom tested positive for #Covid_19. She's got a cough and slight fever. Her nursing home is under quarantine;…,OuuuuOinkers_,Pisces world, my year old mom tested positive for covid she s got a cough and slight fever her nursing home is under quarantine
578,,"RT @FaisalJavedKhan: The infectious COVID-19 virus could be carried on the surface of banknotes for several days, the WHO warned. https://t…",Azzaad_,"Lahore, Pakistan", the infectious covid virus could be carried on the surface of banknotes for several days the who warned
579,,"The case for a coordinated COVID-19 response: No country is an island | VOX, CEPR Policy Portal https://t.co/8rhKZZbeWm",WillemVanlaer,,the case for a coordinated covid response no country is an island vox cepr policy poal
580,,RT @vaitor: Korea finished developing the 10 minute Covid-19 diagnostic kit and is now ramping up production. They plan to export 300.000 t…,MayurBhana,"Rosebank, Gauteng", korea finished developing the minute covid diagnostic kit and is now ramping up production they plan to expo t
581,,"RT @psychdr100: Rand Paul has voted against every virus relief package for America.
NOW MR. PAUL HAS TESTED POSITIVE FOR COVID 19.
He was t…",crutchfoot," Tennessee , USA ", rand paul has voted against every virus relief package for america now mr paul has tested positive for covid he was t
582,,"RT @idriselba: This morning I tested positive for Covid 19. I feel ok, I have no symptoms so far but have been isolated since I found out a…",Red_Jedreamer,"London, England", this morning i tested positive for covid i feel ok i have no symptoms so far but have been isolated since i found out a
583,,RT @AskAnshul: A man who is suspected of Covid-19 virus after returning from London said that many students took paracetamol before landing…,what_did_imiss,Bangalore, a man who is suspected of covid virus after returning from london said that many students took paracetamol before landing
584,,"RT @AugieNash: I'm at Sam's Club

Older couple in 70's checking out

Cashier asks if they found everything they needed

Lady said no - need…",k1nd0fblue,, i m at sam s club older couple in s checking out cashier asks if they found everything they needed lady said no need
585,,"RT @dkbghana: Please clap for robotics students of Obuasi secondary technical school, when grown ups like Knust and Legon were jumping up a…",its_AK24,"Accra, Ghana", please clap for robotics students of obuasi secondary technical school when grown ups like knust and legon were jumping up a
586,,"RT @dustin_SFA: My wife and I pastor a church in Sheridan, Arkansas. We have struggled to have children, but today my wife is 13 weeks. We…",1leea_,ldn/mcr📍, sfa my wife and i pastor a church in sheridan arkansas we have struggled to have children but today my wife is weeks we
587,,The @FEMA #COVID response on Meet-The-Press was disappointing. We need a coordinated federal effort to get supplies… https://t.co/57BxDG1X0I,Tuhina_Neogi,"Boston, MA",the covid response on meet the press was disappointing we need a coordinated federal effo to get supplies
588,,RT @francesleach_: Cuban doctors arriving into Italy to support the fight against Covid-19. Throughout most pandemics of the 21st century C…,yulmma_,, cuban doctors arriving into italy to suppo the fight against covid throughout most pandemics of the st century c
589,,"RT @Farbod_E: This is why the beaches haven't closed in Florida, and why they've had minimal COVID-19 prevention. Absolute dysfunction. htt…",juliaeromero_,"Orlando, FL", e this is why the beaches haven t closed in florida and why they ve had minimal covid prevention absolute dysfunction htt
590,,RT @francesleach_: Cuban doctors arriving into Italy to support the fight against Covid-19. Throughout most pandemics of the 21st century C…,SimplytheTruth2,Somewhere out here..., cuban doctors arriving into italy to suppo the fight against covid throughout most pandemics of the st century c
591,,RT @bwayshea: COVID-19 has successfully stopped the beat,fenellaa_,, covid has successfully stopped the beat
592,,"RT @raymahl: The world will never be the same after we recover from COVID-19. 

Every time the government said they couldn't find money for…",arraillona,Indonesia, the world will never be the same after we recover from covid every time the government said they couldn t find money for
593,,"RT @NadeemRamAli: @ppbajpai Difference between Chinese Billionaire and Indians Billionaire 👇👇👇 

#CoronaUpdatesInIndia #Corona https://t.co…",vikash1313,Bangalore, difference between chinese billionaire and indians billionaire coronaupdatesinindia corona
594,,"RT @WajahatAli: However, we can still try to do our part, #FlattenTheCurve &amp; suppress the impact as much as possible. Lives can and will be…",CannPhilips,, however we can still try to do our pa flattenthecurve suppress the impact as much as possible lives can and will be
595,,RT @AskAnshul: A man who is suspected of Covid-19 virus after returning from London said that many students took paracetamol before landing…,HARDIKG58515849,London UK, a man who is suspected of covid virus after returning from london said that many students took paracetamol before landing
596,,"RT @StephBraganza: Tell me again how your personal choice to eat animals doesn’t affect me...?

#COVID19toronto #covid19Canada #CoronaVirus…",lisac102,"Left Coast Lib / NorCal., USA", tell me again how your personal choice to eat animals doesn t affect me covid toronto covid canada coronavirus
597,,RT @AskAnshul: A man who is suspected of Covid-19 virus after returning from London said that many students took paracetamol before landing…,DCMS_BHARAT,, a man who is suspected of covid virus after returning from london said that many students took paracetamol before landing
598,,"RT @nigeriantribune: COVID-19: IGP orders AIGs, commissioners to enforce social restriction orders https://t.co/f7NxYEiaWz https://t.co/8cq…",AhmadMMadu,Borno State 🇳🇬, covid igp orders aigs commissioners to enforce social restriction orders
599,,RT @brithume: .@MartyMakary predicts on @FoxNewsSunday  that the U.S. will go the way of Italy with the Covid 19 outbreak. He predicts hund…,TheTwitmo,, predicts on that the u s will go the way of italy with the covid outbreak he predicts hund
600,,"RT @60Minutes: In the fight against COVID-19, old medicines are being repurposed, new vaccines are emerging from government and commercial…",moalice46,United States, in the fight against covid old medicines are being repurposed new vaccines are emerging from government and commercial
601,,RT @CarolTempel: .@SenatorTimScott @GrahamBlog Please protect voters’ rights in the COVID-19 emergency stimulus package -- with election fu…,LancelotLinkSpy,United States, please protect voters rights in the covid emergency stimulus package with election fu
602,,"RT @LoriShemek: The First U.S. Company Has Announced an Upcoming Home COVID-19 Test

Everlywell, will begin offering at-home COVID-19 tests…",AntonioDiLoria2,Italia, the first u s company has announced an upcoming home covid test everlywell will begin offering at home covid tests
603,,"RT @AugieNash: I'm at Sam's Club

Older couple in 70's checking out

Cashier asks if they found everything they needed

Lady said no - need…",sunsetsforlife,Mexico, i m at sam s club older couple in s checking out cashier asks if they found everything they needed lady said no need
604,,RT @RandPaul: Senator Rand Paul has tested positive for COVID-19. He is feeling fine and is in quarantine. He is asymptomatic and was teste…,EdwardCalame,The Great State Of Oklahoma, senator rand paul has tested positive for covid he is feeling fine and is in quarantine he is asymptomatic and was teste
605,,RT @satpal13414: We want to appeal to our Hon'ble Prime Minister to @PMOIndia ji that #SantRampalJi_CanEndCorona The Way of worship which H…,BU12Ji,, we want to appeal to our hon ble prime minister to ji that santrampalji canendcorona the way of worship which h
606,,RT @samcerti: If COVID-19 was a person. https://t.co/19cWnOawbK,simarankm,, if covid was a person
607,,RT @francesleach_: Cuban doctors arriving into Italy to support the fight against Covid-19. Throughout most pandemics of the 21st century C…,donialvians,, cuban doctors arriving into italy to suppo the fight against covid throughout most pandemics of the st century c
608,,"Updated - If you have a ""Covid-19 social distancing-friendly"" event to share, email ashley@mysouthsidestand.com… https://t.co/Gw0K9N3vwI",MySouthSide,Zip Code 13205,updated if you have a covid social distancing friendly event to share email ashley com
609,,"RT @SiouxsieW: Heard of #FlattenTheCurve &amp; #StopTheSpread? Well, this is the graphic everyone needs to understand. We all have to change ou…",kyle_sabin,United States, heard of flattenthecurve stopthespread well this is the graphic everyone needs to understand we all have to change ou
610,,"RT @psychdr100: Rand Paul has voted against every virus relief package for America.
NOW MR. PAUL HAS TESTED POSITIVE FOR COVID 19.
He was t…",999zzzccc,"Michigan, USA", rand paul has voted against every virus relief package for america now mr paul has tested positive for covid he was t
611,,"RT @MagnumForamen: Government publication on Covid-19 ... #COVIDIOT #Floridalockdown #TrumpVirus2020 ... CIA inserted in #QAnon

https://t.…",SamanthaLamb33,Bonita Springs Florida, government publication on covid covidiot floridalockdown trumpvirus cia inseed in qanon
612,,RT @AdamFriedland: My cousin works at the pentagon and he told me there’s a viral pandemic going around called the COVID-19,_demmmii,, my cousin works at the pentagon and he told me there s a viral pandemic going around called the covid
613,,RT @AskAnshul: A man who is suspected of Covid-19 virus after returning from London said that many students took paracetamol before landing…,mehrakushal71,, a man who is suspected of covid virus after returning from london said that many students took paracetamol before landing
614,,"RT @USNavy: #USNavy continues preparations to deploy #USNSMercy in support of the nation’s #COVID19 response efforts, and will serve as a r…",DASHEKING,"New Orleans, LA", usnavy continues preparations to deploy usnsmercy in suppo of the nation s covid response effos and will serve as a r
615,,"@JeffreeStar @pulte Hi Jeffree, 

Of course I follow you!! &lt;3 Hope you are keeping well :) 
I am part of the high r… https://t.co/pfJTkQVqGH",ChloeLeeHayes1,Kells,hi jeffree of course i follow you hope you are keeping well i am pa of the high r
616,,RT @adgpi: #IndianArmy stands in solidarity with countrymen for fight against #COVID-19. #IndianArmy salutes front line medical professiona…,MSingh_16,"Srinagar,India", indianarmy stands in solidarity with countrymen for fight against covid indianarmy salutes front line medical professiona
617,,"RT @Khokhar527: #StayAtHome Stay home: People who are mildly ill with COVID-19 are able to recover at home. Do not leave, except to get med…",danishiqbalmul,"Multan, Pakistan", stayathome stay home people who are mildly ill with covid are able to recover at home do not leave except to get med
618,,RT @moi_bahrain: Rumours currently circulating that a GCC citizen has died in the Janabiya area from Coronavirus (COVID-19) are untrue. A p…,_TalalRajab,Bahrain, bahrain rumours currently circulating that a gcc citizen has died in the janabiya area from coronavirus covid are untrue a p
619,,RT @IminHisbook: Public approval is growing for POTUS' handling of COVID-19. But the MSM are apoplectic over the notion that his pressers a…,ddavids105,"Robinson, IL", public approval is growing for potus handling of covid but the msm are apoplectic over the notion that his pressers a
620,,"RT @channelstv: COVID-19: Kwara Govt Shuts Down Schools, Orders Civil Servants To Work From Home
https://t.co/IW97b9e74C https://t.co/OI1Kv…",iemmanuel385,, covid kwara govt shuts down schools orders civil servants to work from home
621,,"RT @MaliniP: Saluting at 5 pm from my doorstep along with my house team, the brave warriors battling #COVID , the doctors, nurses, sanitati…",HEMANTP21137120,Navi Mumbai, saluting at pm from my doorstep along with my house team the brave warriors battling covid the doctors nurses sanitati
622,,RT @AlexandriaVATES: Some non-essential services such as yard waste and bulk collections are being modified or suspended due to COVID-19. P…,StrmH20,"Alexandria, VA", some non essential services such as yard waste and bulk collections are being modified or suspended due to covid p
623,,"@IndiGo6E with d current COVID-19 situation nd states going on lock down, pls give free cancellations or points tha… https://t.co/bCLYDwo59i",vnnnnvbb,,with d current covid situation nd states going on lock down pls give free cancellations or points tha
624,,"RT @InspiringU2: Rand Paul announces he has been diagnosed with coronavirus and is in quarantine.

He has been diagnosed with COVID-19 and…",TUOMEHTETOV,, rand paul announces he has been diagnosed with coronavirus and is in quarantine he has been diagnosed with covid and
625,,RT @TraveleatloveMM: Support for dbar staff effected by COVID-19 https://t.co/3IenMo10Oi,PaulNuttingJr,Savin Hill DOT, suppo for dbar staff effected by covid
626,,"RT @raymahl: The world will never be the same after we recover from COVID-19. 

Every time the government said they couldn't find money for…",Gazingthestars1,, the world will never be the same after we recover from covid every time the government said they couldn t find money for
627,,#ItsNotAboutYou: First Nations coming together for their elders amid COVID-19 pandemic | CBC News https://t.co/B9iHTGJVPO,RobynWins111,Nehiyaw & Michif. Occasionally cranky,itsnotaboutyou first nations coming together for their elders amid covid pandemic cbc news
628,,This doctor says the government's response to the coronavirus pandemic is nothing short of criminal. https://t.co/vqcsdGZun7 via @HuffPost,AlmansaEmily,,this doctor says the government s response to the coronavirus pandemic is nothing sho of criminal via
629,,"RT @jchianello: Dr. @VeraEtches says there is now CONFIRMATION of community transmission in Ottawa today. There may be up to 4,000 cases of…",pAndrewPower,Canada, dr says there is now confirmation of community transmission in ottawa today there may be up to cases of
630,,RT @nailainayat: Gilgit-Baltistan doctor Usama who tested positive for Covid-19 and was on the ventilator for two days passes away. He was…,Majidkhan7143,, gilgit baltistan doctor usama who tested positive for covid and was on the ventilator for two days passes away he was
631,,RT @mitchellvii: THIS SUPPOSEDLY 'BRUTAL' EXPERIENCE SOUNDS LIKE THE FLU TO ME - I'VE BEEN WAY WAY WAY SICKER WITH THAT THAN THIS - A Woman…,VanillaJoe4,, this supposedly brutal experience sounds like the flu to me i ve been way way way sicker with that than this a woman
632,,RT @ashokhavarshini: TN Govt wants you to #selfdeclare if you have travelled abroad in the last 30 days. All district collectors are issuin…,NallappanarG,"Tamil Nadu, India", tn govt wants you to selfdeclare if you have travelled abroad in the last days all district collectors are issuin
633,,"RT @_Chinioty: #Covid_19
#StayAtHome
Vladimir Putin has given Russians two options.

You stay at home for 2 weeks or you go to jail for 5ye…",Davidch40847561,, chinioty covid stayathome vladimir putin has given russians two options you stay at home for weeks or you go to jail for ye
634,,Sen. Rand Paul becomes third member of Congress to test positive for COVID-19 - updates https://t.co/Nj37Eq85bp,MurphyLaw23,,sen rand paul becomes third member of congress to test positive for covid updates
635,,"RT @DHSCgovuk: UPDATE on coronavirus (#COVID19) testing in the UK:

As of 9am on 22 March, a total of 78,340 have been tested: 

72,657 neg…",Ste_mclarenfan,England, update on coronavirus covid testing in the uk as of am on march a total of have been tested neg
636,,"RT @mitchellvii: If Obama were running for re-election, there would NEVER have been a ""COVID-19 Crisis.""  It simply would have been a rough…",SherryDJara,"Mesa, AZ", if obama were running for re election there would never have been a covid crisis it simply would have been a rough
637,,"RT @DanRodimer: Please say a prayer for my daughter, Violet. 🙏

A week ago, Violet was admitted to the hospital. In the very stressful and…",fiftyfiveangel,"Tennessee, USA", please say a prayer for my daughter violet a week ago violet was admitted to the hospital in the very stressful and
638,,RT @RandPaul: Senator Rand Paul has tested positive for COVID-19. He is feeling fine and is in quarantine. He is asymptomatic and was teste…,BugelBoy99,"Kelowna, BC, CANADA", senator rand paul has tested positive for covid he is feeling fine and is in quarantine he is asymptomatic and was teste
639,,RT @francesleach_: Cuban doctors arriving into Italy to support the fight against Covid-19. Throughout most pandemics of the 21st century C…,angelstew1023,, cuban doctors arriving into italy to suppo the fight against covid throughout most pandemics of the st century c
640,,RT @dePolavieja: An initiative from the scientific community to put all available resources at the service of the fight against COVID-19 ht…,stefano_caire,, an initiative from the scientific community to put all available resources at the service of the fight against covid ht
641,,RT @francesleach_: Cuban doctors arriving into Italy to support the fight against Covid-19. Throughout most pandemics of the 21st century C…,Bonize6,"Nairobi, Kenya", cuban doctors arriving into italy to suppo the fight against covid throughout most pandemics of the st century c
