geo,tweet,user_handle,location,cleaned_tweets
,RT @BBhuttoZardari: It has been Pakistan Peoples Party’s position for some time that federal government must renegotiate its ruinous deal w…,nohri_adam,"Khipro, Pakistan", it has been pakistan peoples pay s position for some time that federal government must renegotiate its ruinous deal w
,"RT @aafcollective: Made with love, our zine 💝CARE IN THE TIME OF CORONAVIRUS💝. With the #COVID19 pandemic neither behind or ahead of us, th…",hongwon,salt lake city, made with love our zine care in the time of coronavirus with the covid pandemic neither behind or ahead of us th
,"RT @capt_amarinder: Assuring everyone, particularly the Doctors &amp; health staff that there is no shortage of medical supplies (right from te…",thaparamit1973,"Ludhiana, Punjab", amarinder assuring everyone paicularly the doctors health staff that there is no shoage of medical supplies right from te
,Gov. Steve Sisolak (Dems) orders to withhold chloroquine and hydroxychloroquine from the people of Nevada because o… https://t.co/nnl9TLSfl5,Soll_DeWitt,,gov steve sisolak dems orders to withhold chloroquine and hydroxychloroquine from the people of nevada because o
,"Lockdown is almost here. As the clock ticks down, we are all facing fears and anxieties - but it won't be forever.… https://t.co/MoXd5UgeA6",pretoriacoza,"Pretoria, South Africa",lockdown is almost here as the clock ticks down we are all facing fears and anxieties but it won t be forever
,RT @DrJoGrady: #REF2021 has been put on hold until further notice. This means the Nov deadline will no longer apply. More details in link b…,KatharinaLenner,Amman, ref has been put on hold until fuher notice this means the nov deadline will no longer apply more details in link b
,"RT @chidambara09: #Iran's
#coronavirus death toll 
tops 2,000, with 143 new fatalities 

https://t.co/0pTSRWOoJe 

#bigdata 
#healthCare
#W…",chidambara09,Mysore  and  BERLIN, iran s coronavirus death toll tops with new fatalities bigdata healthcare w
,"RT @EdConwaySky: This is enormously significant if it is indeed right: 
Oxford modellers say #COVID19 may have already infected half the po…",Leah65236954,, this is enormously significant if it is indeed right oxford modellers say covid may have already infected half the po
,"A young and physical healthy man has died in self-quarantine by #COVID19 in his home in G-13, #Islamabad

This… https://t.co/QPIkf5HqTC",Islaamabad,"Islamabad, Pakistan",a young and physical healthy man has died in self quarantine by covid in his home in g islamabad this
,Johns Hopkins released the data they use to power their Coronavirus Dashboard. Our engineers explore the spread of… https://t.co/dKWZp1Qckp,BenjaminTitley,London,johns hopkins released the data they use to power their coronavirus dashboard our engineers explore the spread of
,"RT @livemint: The idea was discussed after PM Modi nudged all the ministers to think out of the box to deal with the coronavirus crisis

#C…",cghcm,"Ho Chi Minh City, Vietnam", the idea was discussed after pm modi nudged all the ministers to think out of the box to deal with the coronavirus crisis c
,"RT @thelastanna: I am an emergency physician. My increased exposure means that I have chosen to isolate from my family, to keep them safe.…",album60054,United States, i am an emergency physician my increased exposure means that i have chosen to isolate from my family to keep them safe
,RT @eNCA: @ThembiMrototo will bring you the latest on #CoronavirusPandemic on #NightLine. #SouthAfricaLockdown #COVID-19SA https://t.co/5zp…,raie_makokwe,"Johannesburg, South Africa", will bring you the latest on coronaviruspandemic on nightline southafricalockdown covid sa
,RT @CGTNOfficial: Live: China’s latest efforts in cooperating with international community to fight #coronavirus pandemic #COVID19 https://…,ChinaEmbGermany,, live china s latest effos in cooperating with international community to fight coronavirus pandemic covid https
,"RT @Craig_A_Spencer: Thank you everyone for your incredible messages of support and encouragement.♥️

Many of you asked what it was like in…",RockDoctor10,, a spencer thank you everyone for your incredible messages of suppo and encouragement many of you asked what it was like in
,"RT @parthaskar: Ok...so...that’s lovely and appreciated.

What however would help much MUCH more?

Stay at home.
Call your friends and fami…",glasgowjane,Scotland, ok so that s lovely and appreciated what however would help much much more stay at home call your friends and fami
,"RT @DaminaboEric: HOW MANY GOVERNORS CAN GIVE UP THEIR SECURITY VOTES TO PROVIDE EMERGENCY SERVICES TO CONTAIN THE SPREAD OF THE VIRUS?

#C…",Triciaduchess,, how many governors can give up their security votes to provide emergency services to contain the spread of the virus c
,"RT @HrhBayero: A message from their highnesses The Emir of Kano and The Emir of Bichi
#StaySafe
#StayHome 
#COVID19 

Ran sarki ya dade htt…",AhmaadMakama,Nigeria , a message from their highnesses the emir of kano and the emir of bichi staysafe stayhome covid ran sarki ya dade htt
,"@RBI Honourable RBI, 
 I’ll not be able to pay my #EMI until things are back to normalcy as I don’t have a source o… https://t.co/SkOmOSkpes",iamdk67183726,,honourable rbi i ll not be able to pay my emi until things are back to normalcy as i don t have a source o
,"RT @LMKMovieManiac: #MegaPowerstar #RamCharan makes his Twitter entry with an official verified account

@AlwaysRamCharan

Inspired by #Pow…",Pavan44541827,, megapowerstar ramcharan makes his twitter entry with an official verified account inspired by pow
,"RT @Travisdhanraj: The new reality Ontario healthcare workers are facing...This memo, obtained by @globalnewsto sent to staff at @Jo_Brant…",2chevronsback,canada, the new reality ontario healthcare workers are facing this memo obtained by sent to staff at brant
,"RT @thevocaleurope: Who is doing better in fight against #COVID19?

- RT for larger sample size -",RealityNewsman1,UK, who is doing better in fight against covid  for larger sample size
,"RT @ShashiTharoor: As an MP, I appeal to @PMOIndia to divert the ₹20,000 Cr earmarked for new Parliament building &amp; Central Vista to supple…",RishavPACHERIA,Arrakis, as an mp i appeal to to dive the cr earmarked for new parliament building central vista to supple
,"RT @thelastanna: I am an emergency physician. My increased exposure means that I have chosen to isolate from my family, to keep them safe.…",LizRodr42,USA, i am an emergency physician my increased exposure means that i have chosen to isolate from my family to keep them safe
,"RT @rsprasad: There are many myths and misconceptions that are spreading related to COVID-19.
It is important to get right facts and inform…",iiNaagin,🇸🇦, there are many myths and misconceptions that are spreading related to covid it is impoant to get right facts and inform
,"RT @EpochTimes: Chinese state media are ramping up a new #Propaganda narrative: that #COVID19 originated in the United States.

The #Global…",DJsnowhite,"DALLAS, TEXAS", chinese state media are ramping up a new propaganda narrative that covid originated in the united states the global
,RT @prnczdee: Unwavering faith. This #covid19 pandemic is shaking my spirit sometimes.. Didn't expect to experience this is in our lifetime…,missyorenney,DOH QA from MNL PH, unwavering faith this covid pandemic is shaking my spirit sometimes didn t expect to experience this is in our lifetime
,"RT @Twiter_Pidgin: Ganduje never really do anything wey person fit use tey tell am Weldon or tank you. 

E close border to check #COVID19 f…",Oscarboi001,"Lagos, Nigeria", pidgin ganduje never really do anything wey person fit use tey tell am weldon or tank you e close border to check covid f
,"RT @CharlesCrossLPP: Stopped young cyclist. 4 miles from his home address, no lights/helmet or high vis. Asked what he's doing so far from…",Kate1880,Lincolnshire , stopped young cyclist miles from his home address no lights helmet or high vis asked what he s doing so far from
,ICYMI RT @Luma923 Mar 20 Biowarfare?? &gt;US Brought COVID19 to China w/Fake Army Team for #Wuhan World Military Games… https://t.co/eZa437oPt6,Luma923,Education is the most powerful weapon you can use to change the world. - Nelson Mandela,icymi  mar biowarfare us brought covid to china w fake army team for wuhan world military games
,"A message to society calling upon us to care for our healthcare workers #COVID19

https://t.co/6hGdLnTJTZ",YeomanRuth,Oxford,a message to society calling upon us to care for our healthcare workers covid
,"RT @Thisruptdotco: This morning, the #MRT Bangkok Metro announced that a staff at Nonthaburi Civic Centre Station has tested positive for #…",Pepopepopepo99,, this morning the m bangkok metro announced that a staff at nonthaburi civic centre station has tested positive for
,"RT @rnivruti: We will save &gt; ~68,000 #covid19 cases, most important save 2000 deaths.Thnx you PM @narendramodi sir.Jaan hai to jahaan hai…",VeritasVincit5,, we will save covid cases most impoant save deaths thnx you pm sir jaan hai to jahaan hai
,"RT @CatherineWest1: https://t.co/ncD0mFicg9 what a backwards step, China needs good journalism esp during #Covid",otischan2046,, what a backwards step china needs good journalism esp during covid
,RT @hucollegedems: History Lesson: In 1926 Congress passed a federal law guaranteeing that Howard University receives annual appropriations…,HOLLAIsis,, history lesson in congress passed a federal law guaranteeing that howard university receives annual appropriations
,"RT @DerbyChrisW: Read @MElmaazi account of Judge Vanessa Baraitser's refusal to grant bail to #JulianAssange, in spite of the risks to pris…",kester29569,"Swansea, Wales", read account of judge vanessa baraitser s refusal to grant bail to julianassange in spite of the risks to pris
,RT @FrankHook: Missionaries....priests....mainly from Italy....account for many #COVID19  cases arriving and spreading in Africa. Like a ne…,moraanellly,Kisii-Kenya, missionaries priests mainly from italy account for many covid cases arriving and spreading in africa like a ne
