geo,tweet,user_handle,location,cleaned_tweets
,RT @PawanDurani: China warned Italy but they did not take it seriously. Italy warned Spain but they did not take it seriously. Here is a me…,rancee428,India, china warned italy but they did not take it seriously italy warned spain but they did not take it seriously here is a me
,"RT @Gidi_Traffic: ""@Olohunxe: They need to teach these #COVID19 call center people the correct process.

These are against NCDC guidelines!…",Engr_Wil,"Uyo, Nigeria", traffic they need to teach these covid call center people the correct process these are against ncdc guidelines
,RT @Vijayabaskarofl: #UPDATE:Last evening the Executive Vice Chairperson of  Apollo hospitals Ms.Preetha Reddy met with me &amp; health officia…,shankararumuga4,"Tirunelveli, India", update last evening the executive vice chairperson of apollo hospitals ms preetha reddy met with me health officia
,"🤣🤣🤣🤣
I'm telling u . 
#PunjabCoronavirusUpdate 
#Corona #coronavirusindia https://t.co/aascfuhAjz",ImGiftFromGod,"Punjab, India",i m telling u punjabcoronavirusupdate corona coronavirusindia
,RT @AslamShaikh_MLA: Yesterday I took a review Meeting with Mumbai Dist. Collector &amp; Addl. Commissioner of M.C.G.M  Mr. Suresh Kakani to ta…,radhacharandas,"Nasik, India", mla yesterday i took a review meeting with mumbai dist collector addl commissioner of m c g m mr suresh kakani to ta
,"RT @iamsanthanam: The #Corona virus is claiming lives and causing distress throughout the world. During these difficult times, we should ob…",suriya_maari,தனுஷ் இதயத்தில் , the corona virus is claiming lives and causing distress throughout the world during these difficult times we should ob
,"RT @PiyushGoyal: 🏥WHO backs India to take aggressive action against #COVID19

""Through its targeted public health interaction, India ended…",getabhiin0403,"Patna, India", who backs india to take aggressive action against covid through its targeted public health interaction india ended
,RT @marijana_petir: Zagreb hit by 37 #earthquakes in last 24 hours while in #coronavirus lockdown. The best way to thank all urgent service…,a_maltareis,"Brussels, Belgium", petir zagreb hit by eahquakes in last hours while in coronavirus lockdown the best way to thank all urgent service
,"RT @JENFL23: If we do NOT bail out workers and instead bailout corporations, two things are going to happen: 

✅ Millions of people could d…",AleksisN1,, if we do not bail out workers and instead bailout corporations two things are going to happen millions of people could d
,"RT @Craig_A_Spencer: Thank you everyone for your incredible messages of support and encouragement.♥️

Many of you asked what it was like in…",hi_may3,nwest indiana/chicago, a spencer thank you everyone for your incredible messages of suppo and encouragement many of you asked what it was like in
,"RT @rthk_enews: Chief Executive Carrie Lam says bars in #HongKong can ""do something else"" when they are banned from serving alcohol due to…",Tsumtsu26165853,, enews chief executive carrie lam says bars in hongkong can do something else when they are banned from serving alcohol due to
,"RT @victorliew: #COVID19 #Malaysia Urgent Please RT
Someone’s nephew just tested positive. He was on this flight. If u know anyone on this…",wanfaizism,Bolehland, covid malaysia urgent please  someone s nephew just tested positive he was on this flight if u know anyone on this
,"RT @tes: 'This is no time for half measures': all school staff should be tested for #Covid19, @MaryBoustedNEU says

https://t.co/TA3i3whfaS",MarkTyndall,Yorkshire, this is no time for half measures all school staff should be tested for covid says
,"RT @protectheflames: ""I stopped him and said, 'Look, this isn't a movie. You are not Will Smith in I Am Legend. Go home.""
This is the updat…",crankier,"14.578638,121.061918", i stopped him and said look this isn t a movie you are not will smith in i am legend go home this is the updat
,RT @garthmullins: Dopesickness &amp; #COVID19 can have similar symptoms. Don't share smokes / pipes. If you can: Squirrel away a little dope. S…,notrivia,baltimore / brandonsoderberg@gmail.com, dopesickness covid can have similar symptoms don t share smokes pipes if you can squirrel away a little dope s
,"RT @DrEricDing: Italy 🇮🇹 is bending the arc and rounding the corner hopefully. For 2nd consecutive day, new #COVID19 cases lower than day b…",Agstatic,Australia, italy is bending the arc and rounding the corner hopefully for nd consecutive day new covid cases lower than day b
,"RT @Basseymoh: 5 DAYS TO GO!!!!!
Christians All Over the World pray Along With Nigerian Based Clergyman TB Joshua, As They Continue to Coun…",veggiesnberries,"Jos, Nigeria", days to go christians all over the world pray along with nigerian based clergyman tb joshua as they continue to coun
,"RT @Wyn1745: J Kenedy: You know what American People are thinking right  now Mr. President? 
Truth💥This Country was founded by Geniuses, bu…",FFS75843666,"England, United Kingdom", j kenedy you know what american people are thinking right now mr president truth this country was founded by geniuses bu
,"We interrupt your regularly scheduled program to bring you a fresh new line-up of digitally connected content. 
.
D… https://t.co/2R11GwPnyV",codelikeagirlau,Australia,we interrupt your regularly scheduled program to bring you a fresh new line up of digitally connected content d
,"RT @KRInstitute: In this #Covid19 crisis, the most vulnerable need the most help and will have to rely on the government. With little to no…",1ykhs,, in this covid crisis the most vulnerable need the most help and will have to rely on the government with little to no
,"As I got home from school today, my mom refused to touch me. I don’t know how I feel about this #COVID19",aclown19281716,,as i got home from school today my mom refused to touch me i don t know how i feel about this covid
,RT @thecableng: #Coronavirus: #Germany restricts public gathering to just two people | TheCable https://t.co/5M2D4Me6bO #COVID19 https://t.…,FadojuVal,, coronavirus germany restricts public gathering to just two people thecable covid
,"RT @FirstPeoplesLaw: ""Historically, First Nations communities have been devastated by pandemics and we must take decisive action now before…",joanneinvan604,Homelands, historically first nations communities have been devastated by pandemics and we must take decisive action now before
,RT @sydney_talker: This is depressing. Called the NCDC’s Corona Virus Report hotline and this was the response I got. If you’re not exhibit…,intoxi_Kante,+234 💖 , talker this is depressing called the ncdc s corona virus repo hotline and this was the response i got if you re not exhibit
,"RT @MoHFW_INDIA: #IndiaFightsCorona

Follow these basic steps to wash your hands with soap and water thoroughly.

Together we can fight #CO…",nagendraasharma,bangalore, india indiafightscorona follow these basic steps to wash your hands with soap and water thoroughly together we can fight co
,"RT @ShaneBeattyNews: On testing, someone close to me began displaying symptoms for suspected #covid19 on Sat March 14th. Very bad breathing…",geraghty040,, on testing someone close to me began displaying symptoms for suspected covid on sat march th very bad breathing
,RT @ProfCymOhAFC: Kenyans should know that #COVID19 is a sad reality.Lets follow the  directives  of hand hygiene&amp; keeping safe. As much as…,Didacus_Jr,"Nairobi, Kenya", kenyans should know that covid is a sad reality lets follow the directives of hand hygiene keeping safe as much as
,RT @johnsoncinepro: Breaking : Actor @rajinikanth gave ₹50 lakhs for #FEFSI Workers who are facing shutdown due to Corona Virus our break.…,deepance7,, breaking actor gave lakhs for fefsi workers who are facing shutdown due to corona virus our break
,RT @protectheflames: My new favourite thing is Italian mayors and regional presidents LOSING IT at people violating quarantine. Here's an e…,janbrooks3644,Barooga, my new favourite thing is italian mayors and regional presidents losing it at people violating quarantine here s an e
,"RT @AynRandPaulRyan: Turns out Trump's ""15 days to slow the spread"" order was about 2 days too short.

The CDC has found that #COVID19 surv…",dianalinr,NY, turns out trump s days to slow the spread order was about days too sho the cdc has found that covid surv
,"Available to assist. We are fighting a common enemy, please take necessary health precautions #TakeResponsibility… https://t.co/NfNeQD8694",blackcorry,"Port Harcourt, Nigeria",available to assist we are fighting a common enemy please take necessary health precautions takeresponsibility
,RT @valonthecoast: The White House press briefing is currently talking about the problem with how #COVID19 can spread by surfaces. 🦠 These…,johnmbithi13,Africa, the white house press briefing is currently talking about the problem with how covid can spread by surfaces these
,"People are still doing hook up this period?  🤦‍♂️🤦‍♂️
#COVID19 #Covid19Out",Mistah_Reechy,Nigeria✦ ✦,people are still doing hook up this period covid covid out
,"RT @rachelbovard: Pelosi's #COVID19 bill is 1,119 pages and contains provisions for ""conducting risk-limiting audits of results of election…",LexFlair,"London, England", pelosi s covid bill is pages and contains provisions for conducting risk limiting audits of results of election
,"RT @EdelweissFin: Not all heroes wear capes. Some #StayHome to avoid community transmission. Right now, doing the best you can is all the w…",i_RahulJain,"Mumbai, India", not all heroes wear capes some stayhome to avoid community transmission right now doing the best you can is all the w
,Finally some good news. The leader of the free world tests negative for #COVID19 https://t.co/ZEmEyP9rHd,ATXChristina,"Austin, TX",finally some good news the leader of the free world tests negative for covid
,"RT @DrDenaGrayson: ‼️INSANITY. If we don't lock down, 4 million Americans are projected to DIE from #coronavirus over the coming months.

T…",thoroughgood_j,, insanity if we don t lock down million americans are projected to die from coronavirus over the coming months t
,RT @kishanpatelfit: Doctors and nurses are getting a lot of mention for treating #COVID19 patients. Can we please take a moment to also rec…,Mackers1969,Lancashire (Leics by birth), doctors and nurses are getting a lot of mention for treating covid patients can we please take a moment to also rec
,@scubasteve1414 @Rugusuki You people in the #West over use the so called #humanrights where its not necessary. Peop… https://t.co/HpTOntOM84,JeanRukanika,Belarus,you people in the west over use the so called humanrights where its not necessary peop
,RT @richapintoTOI: One more #COVID positive death in #Mumbai after a 65 year old man passes away last evening. The patient has a travel his…,whatmankalia,"Mumbai, india", one more covid positive death in mumbai after a year old man passes away last evening the patient has a travel his
,"RT @antonioguterres: Today I am calling for an immediate global ceasefire in all corners of the world.

It is time to put armed conflict on…",GkgAtul,, today i am calling for an immediate global ceasefire in all corners of the world it is time to put armed conflict on
,What about the homeless? Even with a night shelter they have to be out all day. #COVID19 #homeless @AlabareUK @HomelessLink,TinaParham,"Wiltshire, UK.",what about the homeless even with a night shelter they have to be out all day covid homeless
,"RT @SandroDemaio: Some helpful tips, links and resources on looking after your mental health — from @beyondblue &amp; @VicHealth.

https://t.co…",alicemunro86,Orange NSW, some helpful tips links and resources on looking after your mental health from
,"RT @zlj517: #COVID19 epidemic once again proves that mankind is a community with a shared future. In the face of #COVID19, how terrible the…",wuziweidian,, covid epidemic once again proves that mankind is a community with a shared future in the face of covid how terrible the
,"RT @MoHFW_INDIA: #IndiaFightsCorona

Let us contribute in the fight against #COVID19.

Know when to practice #HomeQuarantine.

For more inf…",PendyalaUma,, india indiafightscorona let us contribute in the fight against covid know when to practice homequarantine for more inf
,"RT @DrTedros: Here are just a few of the ways that @WHO is responding to #COVID19. I sincerely thank all the countries, institutions and in…",NyombayireYR,My tweets = My Own Opinion, here are just a few of the ways that is responding to covid i sincerely thank all the countries institutions and in
,⁦@CDCgov⁩ : coronavirus survived in #princesscruises cabins up to 17 days after passengers left #Carnival must be l… https://t.co/GiltTnpoPO,Twitlertwit,Dying Earth,coronavirus survived in princesscruises cabins up to days after passengers left carnival must be l
,RT @kishanpatelfit: Doctors and nurses are getting a lot of mention for treating #COVID19 patients. Can we please take a moment to also rec…,nikkig60,Tickhill, doctors and nurses are getting a lot of mention for treating covid patients can we please take a moment to also rec
,RT @GregMulholland1: This is the official @OtleyCouncil #COVIDー19 #COVID19 response leaflet with useful information &amp; contact numbers. This…,OtleyCourthouse,"Otley, West Yorkshire", this is the official covid covid response leaflet with useful information contact numbers this
,"RT @tmprowell: #COVID19 in kids (N=171): 

👉46% pharyngeal erythema
👉49% cough 
👉42% fever (at any point)
👉As in adults, M &gt; F (60/40).
👉3…",pancho_daz,, covid in kids n pharyngeal erythema cough fever at any point as in adults m f
,RT @protectheflames: You asked for more Italian Mayors losing their shit at people breaking quarantine. I'm delivering. Here's two more may…,colindacm,"Rainham, Kent.", you asked for more italian mayors losing their shit at people breaking quarantine i m delivering here s two more may
,"RT @antonioguterres: #COVID19 does not care about nationality or ethnicity, faction or faith. It attacks all, relentlessly.

Meanwhile, arm…",ubeyda,Yangon, covid does not care about nationality or ethnicity faction or faith it attacks all relentlessly meanwhile arm
,It was confusing who was really the fascist...#COVID19 #coronavirus #StayAtHome https://t.co/HJcLMHFVsU,Dystopia2021,From the Future,it was confusing who was really the fascist covid coronavirus stayathome
,RT @ClaireCardwell: Once again Donald Trump is more worried about his stock portfolio and upsetting the 'old boys club' than leading his na…,ClaireCardwell,South Africa, once again donald trump is more worried about his stock pofolio and upsetting the old boys club than leading his na
,"RT @ANI: Delhi: Huge crowd seen at a vegetable market in Daryaganj, amid lockdown in the national capital. #COVID19 https://t.co/TgkdGfciaB",dheerzj,🇮🇳, delhi huge crowd seen at a vegetable market in daryaganj amid lockdown in the national capital covid
,"@sivaetb @Shaaledotcom @tmkrishna Sad, but true, you're about to play fiddle while India burns and ""Milk the situat… https://t.co/A9USyQcTEd",Gene41731841,,sad but true you re about to play fiddle while india burns and milk the situat
,"RT @joepike: BREAK: @BorisJohnson announces limits on people leaving their homes.
Only 4 reasons you should do so:

-Shopping for basic nec…",nakii2095,, break announces limits on people leaving their homes only reasons you should do so shopping for basic nec
,"RT @Craig_A_Spencer: Thank you everyone for your incredible messages of support and encouragement.♥️

Many of you asked what it was like in…",mirentxume,"Maryland, USA", a spencer thank you everyone for your incredible messages of suppo and encouragement many of you asked what it was like in
,"RT @CommonsJustice: Tomorrow we will take evidence from @RobertBuckland, Lord Chancellor and Secretary of State @MoJGovUK 

Given the circu…",Shannonrevel,"London, England", tomorrow we will take evidence from lord chancellor and secretary of state given the circu
,RT @DDNational: PM @narendramodi will address the Nation on #COVID19 TONIGHT at 8 PM on @DDNational &amp; Live-Stream on https://t.co/OFUmYgGtx…,sanjooraja,"Hyderabad, Telangana", pm will address the nation on covid tonight at pm on live stream on
,RT @gomoneyng: Your safety means the world to us. We put together a blog post containing everything you need to know about #COVID19 in Nige…,Mapelsun,, your safety means the world to us we put together a blog post containing everything you need to know about covid in nige
,RT @DMiliband: Many of the world's millions of refugees living in camps cannot just Stay At Home to prevent #COVID19. Must-read: https://t.…,edwardleodavey,NW London, many of the world s millions of refugees living in camps cannot just stay at home to prevent covid must read
,"RT @asokao: For those in Colombo - this online pharmacy is permitted to deliver through the curfew https://t.co/kwu7RrjP2l 
#COVID19 #InThi…",colombobelle,Sri Lanka, for those in colombo this online pharmacy is permitted to deliver through the curfew covid inthi
,"RT @AynRandPaulRyan: Turns out Trump's ""15 days to slow the spread"" order was about 2 days too short.

The CDC has found that #COVID19 surv…",mario_1fan,, turns out trump s days to slow the spread order was about days too sho the cdc has found that covid surv
,"RT @tarak9999: Salute to all our brothers and sisters in healthcare and emergency services, who are selflessly leading this fight against #…",ramusl4304,HOSUR, salute to all our brothers and sisters in healthcare and emergency services who are selflessly leading this fight against
,Remember that the same #TimesCow used to scoff at #NYAY! Scoundrels! #coronavirus #StayHomeIndia #StayHomeIndia… https://t.co/1x3BZMHmL3,Samar_Anarya,Hong Kong,remember that the same timescow used to scoff at nyay scoundrels coronavirus stayhomeindia stayhomeindia
,"RT @PiyushGoyal: 🏥WHO backs India to take aggressive action against #COVID19

""Through its targeted public health interaction, India ended…",EveRsoLosAmoRa,"மணப்பாறை, திருச்சிராப்பள்ளி.", who backs india to take aggressive action against covid through its targeted public health interaction india ended
,22 March 2020 will be remembered in history. When #Scientists from all over the world were looking for medicine and… https://t.co/Eo0zpcmyxX,0cb239c21cf44f6,uttarakhand India,march will be remembered in history when scientists from all over the world were looking for medicine and
,RT @gchikermane: Reliance Industries Ltd sets up India's first dedicated #COVID19 hospital with 100-bed capacity in two weeks at Seven Hill…,DMaskeri,"Mumbai, India", reliance industries ltd sets up india s first dedicated covid hospital with bed capacity in two weeks at seven hill
