datetime,text
"12:17 (IST), Mar 26","FM to announce economic package soon to deal with Covid-19 impactFinance Minister Nirmala Sitharaman will soon announce a comprehensive package to deal with coronavirus impact on the economy. The announcement is expected to take place at 1 pm on Thursday, according to an official. Earlier this week, the Finance Minister had said a package is under works and will be announced soon. Prime Minister Narendra Modi last week had constituted a task force headed by the Finance Minister to work out package for economy hit by coronavirus."
"12:16 (IST), Mar 26","Kashmir: 48 people who came in contact with Covid-19 patient put in quarantineForty-eight people, who had come in contact with the first coronavirus fatality in Kashmir, are in quarantine and authorities are in touch with the states visited by the man to track those who may have been infected by him, an official said on Thursday. The 65-year-old man, hailing from Hyderpora area of the city here, died on Thursday morning -- becoming the first fatality in Jammu and Kashmir due to coronavirus. Four of his contacts in the valley – all from north Kashmir's Bandipora district -- also tested positive on Wednesday. ""The person attended religious gatherings in New Delhi, Deoband (in Uttar Pradesh), Jammu, Samba, Sopore and then he came back here (Srinagar) and was admitted to a chest diseases hospital where he expired,"" Director, Health Services, Kashmir, Samir Matoo told PTI."
"12:13 (IST), Mar 26",Police regulates road users on in Chennai
"12:12 (IST), Mar 26","Goa CM Pramod Sawant to hold meeting with all major grocery providers like super market operators, major grocery shop owners to work out plan on supply of essential commodities."
"12:11 (IST), Mar 26",Coronavirus: Delhi govt orders all health care staff involving in the care of Covid-19 patients or suspects to undergo test. Patients admitted with acute respiratory distress will also be tested for the disease.
"12:09 (IST), Mar 26","WHO 'very much' sided with China on coronavirus: TrumpUS President Donald Trump has said that the World Health Organization has ""very much"" sided with China on coronavirus crisis, asserting that many people are unhappy with the global health agency and feel that ""it's been very unfair"". Read more"
"12:08 (IST), Mar 26","Coronavirus: Sonia Gandhi writes to PM Modi, voices support to lockdown"
"12:02 (IST), Mar 26","Chennai corporation ties up with Anna University to spray disinfectant through drones across the city. One drone can cover 50,000 square feet. Four drones to be procured."
"11:59 (IST), Mar 26",All loan installment deductions from salaries of government employees may also be deferred for six months: Sonia to PM
"11:59 (IST), Mar 26","Centre must consider announcing sector-wise relief package, including tax breaks, interest subvention, deferment of liability: Sonia to PM"
"11:54 (IST), Mar 26","Lockdown a welcome step, says Sonia Gandhi in letter to PM ModiThe 21-day 'Nations-wide lockdown' announced by you as a measure to fight the coronavirus is a welcome step, says Congress president Sonia Gandhi in her letter to PM Modi."
"11:43 (IST), Mar 26",2 more positive cases in Navi Mumbai
"11:41 (IST), Mar 26","Essential commodities like cereals,  pulses, etc are out of stock in Vizag. The managers say that first, there are no people working in the back end  to transport from godowns to retail stores. Second, if the stock needs to arrive from Bangalore, the lorries are being stopped so drivers are not willing to deliver."
"11:41 (IST), Mar 26",A 70 year old man died due to Coronavirus in Bhavnagar. He got infected from Delhi. He died soon after he tested positive today morning. Total death in the state is 3
"11:31 (IST), Mar 26","Covid-19: Cong chief Sonia Gandhi writes to PM; supports 21-day lockdown, seeks measures to protect doctors, paramedics and ease supply chain."
"11:30 (IST), Mar 26",Russia to ground all international flights from midnight: AFP
"11:21 (IST), Mar 26","A 65-year-old woman from Mumbai who tested positive for Coronavirus, passes away: ANI"
"11:20 (IST), Mar 26",Coronavirus suspect dies at Indore hospital; test result awaited: Official
"11:12 (IST), Mar 26",Another death of 70 year old man in Gujarat. Total deaths 3. Number of positive cases in Gujarat now 43.
"11:08 (IST), Mar 26",Covid-19 cases rise to six in Chhattisgarh: Raipur AIIMS Director NM Nagarkar
"11:08 (IST), Mar 26",Delhi Police suspended a constable posted at Ranjit Nagar Police Station for allegedly vandalizing vegetable shops during Coronavirus lockdown: ANI
"11:07 (IST), Mar 26","Majority of 1,022 coronavirus cases in Pakistan constitute young adults falling in the age bracket of 21-30 years, Geo TV quotes Special Assistant to Pakistan PM on Health, Dr Zafar Mirza (ANI)"
"11:04 (IST), Mar 26",Surat: Senior doctor of New Civil Hospital involved in Covid-19 duties threatens to go on indefinite fast if no action is taken against cops who abused and hit him on road.
"10:55 (IST), Mar 26",Chief Minister Yogi Adityanath holds meeting with senior officials over Coronavirus; Social distancing seen during the meeting: ANI
"10:48 (IST), Mar 26",Will conduct special flight from Delhi to Jodhpur on Sunday to take Indians who have returned from Iran to govt quarantine facility: SpiceJet
"10:39 (IST), Mar 26",Death toll due to Covid-19 rises to 13 in India; cases soars to 649: Health Ministry
"10:36 (IST), Mar 26","Karnataka: A 56-year old man, who suspected that he had contracted coronavirus infection, committed suicide in Udupi district: Police sources"
"10:35 (IST), Mar 26",Police restricting unnecessary movement of vehicles near Court Circle in Hubballi
"10:18 (IST), Mar 26",Social distancing in Uttarkashi
"10:17 (IST), Mar 26",Ram Janmabhoomi Teerath trust postpones it’s scheduled meeting on April 4 indefinitely
"10:17 (IST), Mar 26",Ram Janmabhoomi Teerath trust postpones it’s scheduled meeting on April 4 indefinitely
"10:16 (IST), Mar 26",Chennai: Congress MLA A Johnkumar booked for violating lockdown orders. The MLA distributed vegetables to the people in his constituency and more than 200 people gathered at one place to receive the freebie.
"10:15 (IST), Mar 26","DPIIT sets up a Control Room to monitor the status of transportation and delivery of goods, manufacturing, and delivery of essential commodities."
"09:50 (IST), Mar 26",All stages of NEET PG 2020 counselling postponed due to Covid-19 lockdown
"09:44 (IST), Mar 26",Kashmir reports first Covid-19 death as 65-year-old man dies at a hospital in Srinagar
"09:42 (IST), Mar 26","2 new positive cases of Coronavirus in Mumbai and Thane; Till now, the total number of positive cases in the state is 124: Health Department, Maharashtra"
"09:37 (IST), Mar 26",Tracking Covid-19
"09:35 (IST), Mar 26","Resident Doctor's Association of Delhi AIIMS writes to the Haryana Health Secretary, seeking intervention for suspension of the classes at Pandit Bhagwat Dayal Sharma Post Graduate Institute of Medical Sciences (PGIMS) in Rohtak amid nationwide lockdown."
"09:34 (IST), Mar 26","Representatives of e-retailers held a meeting with Delhi Police on Wednesday over movement of goods in the city during the lockdown period. Grofers CEO A Dhindsa says, ""Police will soon issue passes to us for movement of goods. We've adequate supplies so prices to remain same as before""."
"09:32 (IST), Mar 26",Vehicles transporting essential goods need no pass and they shall not be stopped from going to their destinations: Gautam Budh Nagar District Magistrate BN Singh's order coronavirus lockdown
"09:22 (IST), Mar 26","G20 leaders to hold video conference to discuss Covid-19 todayLeaders of the Group of 20 nations will hold a summit today via video conference to discuss measures to protect the global economy, amid coronavirus pandemic which has claimed over 18,000 lives globally. The summit, which will be chaired by Saudi Arabia's King Salman bin Abdulaziz Al Saud, aims to ""advance a coordinated global response to the Covid-19 pandemic and its human and economic implications,"" according to the statement published by the G20 Secretariat on Tuesday. The lethal virus which was first detected in December last year in the Chinese city of Wuhan, has since, infected over 4,14,179 people around the world. The coronavirus has already resulted in major disruption of global supply chains, volatility and large drops in the stock market and could cause a financial crisis as stated by IMF Managing Director Kristalina Georgieva. India is a member nation of the G20 group."
"09:15 (IST), Mar 26","35 companies in race to produce wonder vaccine to prevent COVID-19, trials started"
"09:14 (IST), Mar 26","G20 leaders to hold video conference to discuss Covid-19 todayLeaders of the Group of 20 nations will hold a summit today via video conference to discuss measures to protect the global economy, amid coronavirus pandemic which has claimed over 18,000 lives globally. The summit, which will be chaired by Saudi Arabia's King Salman bin Abdulaziz Al Saud, aims to ""advance a coordinated global response to the Covid-19 pandemic and its human and economic implications,"" according to the statement published by the G20 Secretariat on Tuesday. The lethal virus which was first detected in December last year in the Chinese city of Wuhan, has since, infected over 4,14,179 people around the world. The coronavirus has already resulted in major disruption of global supply chains, volatility and large drops in the stock market and could cause a financial crisis as stated by IMF Managing Director Kristalina Georgieva."
"09:09 (IST), Mar 26","New York struggles with coronavirus, US deaths top 1,000"
"09:04 (IST), Mar 26","Covid-19: Dept for Promotion of Industry and Internal Trade has set up a control room to monitor real-time status of transportation and delivery of goods, manufacturing, delivery of essential commodities and difficulties being faced by various stakeholders during the lockdown period."
"09:02 (IST), Mar 26","Actor turned politician, Janasena chief Pawan Kalyan announced Rs 50 lakh each to CM relief fund of Telangana and Andhra Pradesh."
"08:54 (IST), Mar 26","Jammu & Kashmir: Vegetable traders at Srinagar's Iqbal Sabzi Mandi say, ""All vegetables are available here, there is no shortage, and the prices remain reasonable""."
"08:51 (IST), Mar 26","West Bengal: Buses, trams, and metros in Kolkata have stopped plying as the city remains under lockdown to control the spread of Coronavirus; Total number of positive cases in the state now stand at 10."
"08:50 (IST), Mar 26",Kerala: Men deployed by district administration marking one metre distance at Pulayanvazhi Market near Alappuzha town. On Wednesday market witnessed heavy rush of people for buying essential commodities.
"08:46 (IST), Mar 26","LPG bookings zoom 200%; oil cos say measures in placeDaily LPG bookings have jumped more than 200% since Sunday but consumers need not worry about supply crunch during the lockdown period so long as they don’t resort to panic buying or rush to dealerships with empty cylinders. Measures have been put in place to ensure uninterrupted home delivery of refills, officers of state-run fuel retailers and All India LPG Distributors Federation told TOI on Wednesday amid reports of delayed deliveries from a few states as police blocked movement of vehicles or personnel carrying cylinders. Indian Oil, the country’s largest supplier, got over 31 lakh bookings on Tuesday, up 215% from 9.84 lakh on Sunday, the day ‘janata curfew’ was in force. Distributors federation president Chandra Prakash said bookings have risen by 15-20% but still dealers were getting enough cylinders. Read more"
"08:43 (IST), Mar 26",Door to Door milk supply in Chandigarh
"08:42 (IST), Mar 26",Indian American hoteliers offer free accommodation to stranded Indian students
"08:41 (IST), Mar 26",Madhya Pradesh Covid-19 tally rises to 20; Five test positive in Indore(PTI)
"08:33 (IST), Mar 26","Coronavirus could become seasonal: Top US scientistAnthony Fauci, who leads research into infectious diseases at the National Institutes of Health, said there is a strong chance the new coronavirus could return in seasonal cycles, underscoring the urgent need to find a vaccine and effective treatments."
"08:30 (IST), Mar 26","On day of disruptions, Centre, state govts seek to ensure stable suppliesAs India went into a 21-day lockdown from Wednesday, the Centre, states and local administrations scrambled to resolve disruptions in essential services, especially delivery of food, groceries and medicines, with reports streaming in from different parts of the country of police obstructing, and even beating up, distribution executives – prompting e-grocers BigBasket and Grofers and online retail major Flipkart to stop accepting fresh orders. Also, many essential daily products have gone off the shelves primarily because movement of trucks between factories, warehouses and grocery stores have been hit by the lockdown. Read more"
"08:24 (IST), Mar 26","US coronavirus cases near 70,000, more than 1,000 dead: AFP quoting tracker"
"08:11 (IST), Mar 26","Coronavirus: No evidence of community spread yet, govt saysThere is still no evidence of a wider spread of novel coronavirus through community transmission, the Centre said on Wednesday on the basis of sampling of ICU cases suffering from severe influenza symptoms. These patients are outside the testing focus on persons exhibiting symptoms who have travelled abroad or have been in contact with such a person.


Indian Council of Medical Research (ICMR) has informed that “as of now there is no community transmission,” health ministry Joint Secretary Lav Agarwal said. The official’s caution underlined the concern that the highly infectious disease has the ability of rapid transmission and the situation needs to be assessed on a daily basis. Read more"
"08:08 (IST), Mar 26","One more Covid-19 postive in West Bengal, taking the total count to 10 in the state."
"08:04 (IST), Mar 26",Haryana Government to provide an extension in service to medical and para-medical staff and those engaged in essential services who are due for retirement this month. A decision on this was taken in the meeting of the Crisis Coordination Committee.Haryana Govt to send jail inmates on parole; Jail inmates/prisoners already on parole or furlough to get an extension of 4-week spl parole. Prisoners who return to jail after only 1 parole or furlough on time in a peaceful manner to be given 6 weeks of special parole.
"08:02 (IST), Mar 26","Spain extends its state of emergency by 2 weeksSpain's Parliament has voted in favor of the government's request to extend the state of emergency by two weeks that has allowed it to apply a national lockdown in hopes of stemming its coronavirus outbreak.

The parliamentary endorsement will allow the government to extend the strict stay-at-home rules and business closings for a full month. The government declared a state of emergency on March 14. It will now last until April 11.

Spain's government solicited the two-week extension after deaths and infections from the COVID-19 virus have skyrocketed in recent days. Spain 47,600 total cases. Its 3,434 deaths only trail Italy's death toll as the hardest-hit countries in the world.

The parliament met with fewer than 50 of its 350 members in the chamber, with the rest voting from home to reduce the risk of contagion."
"07:50 (IST), Mar 26","Virus death toll passes 20,000, three billion under lockdownMore than three billion people around the world were living under lockdown on Wednesday as governments stepped up their efforts against the coronavirus pandemic which has left more than 20,000 people dead.

As the number of confirmed cases worldwide soared past 450,000, UN Secretary General Antonio Guterres warned that only a concerted global effort could stop the spread of the virus.

In Spain, the number of fatalities surpassed those of China, where the novel coronavirus first emerged three months ago, making it the hardest-hit nation after Italy.

A total of more than 20,800 deaths have now been reported in 182 countries and territories, according to an AFP tally."
"06:58 (IST), Mar 26","South Korea reports 104 new coronavirus cases, total to 9,241"
"06:26 (IST), Mar 26","New Zealand reports 78 new cases of Covid-19, reports Reuters"
"06:01 (IST), Mar 26",China's Hubei province reports no new coronavirus cases at end of March 25 (Reuters)
"05:38 (IST), Mar 26","FIR against Puducherry MLA for violating lockdown orders, reports ANIA FIR was registered against Congress MLA John Kumar for allegedly violating the lockdown orders issued by the Puducherry government to contain the spread of Covid-19. It has been alleged that Kumar was distributing bags containing vegetables to a gathering of more than 200 people near his residence in Nellithope."
"05:07 (IST), Mar 26","UK deaths from coronavirus outbreak rise to 463The number of coronavirus deaths in the UK have risen to 463 as of Wednesday from 422 on Tuesday, the British government said, adding that more than 9,500 Covid-19 cases have now been reported in the UK. The total number of coronavirus cases in the UK have risen to 9,529 as of Wednesday, compared to 8,077 cases as on Tuesday, the statement added."
"05:04 (IST), Mar 26","Govt suspends toll collection on national highways to ease emergency servicesThe government on Wednesday temporarily suspended toll collection on national highways to ease emergency services in view of the coronavirus outbreak. ""In view of COVID-19, it has been ordered to temporarily suspend the collection of toll at all toll plazas across India,"" road transport and highways minister Nitin Gadkari announced."
"05:02 (IST), Mar 26","We stand united with India & echo Prime Minister Narendra Modi's call to keep up our fighting spirits. The United States will work shoulder to shoulder with India to combat the Covid-19 outbreak. Together, we can safeguard our citizens & people everywhere: US department of state"
"05:01 (IST), Mar 26","We call on all countries who have introduced so-called lockdown measures, to use this time to attack the virus. You have created a 2nd window of opportunity, the question is how will you use it?: WHO"
"05:00 (IST), Mar 26","Aggressive measures to find, isolate, test, treat and trace are not only the best and fastest way out of extreme social and economic restrictions, they’re also the best way to prevent them: WHO"
"05:00 (IST), Mar 26","Asking people to stay at home & shutting down population movement is buying time & reducing the pressure on health systems. But on their own, these measures will not extinguish epidemics: Tedros Adhanom Ghebreyesus, Director-General of WHO"
12:45 PM,"Two more Covid-19 cases reported in Bihar, taking the total count to six in the state: Official  "
12:42 PM,COVID-19: Noida Authority allows home delivery of essentials People residing in the area will now be able to get essential commodities at their doorstep as the Noida Authority has allowed retail stores to do home delivery after following proper safety protocol.
12:40 PM,"Coronavirus: Steel players consider to cut production Steel companies, including those under public sector, are considering to scale down production amid coronavirus outbreak, according to sources.Sajjan Jindal's JSW Steel has already announced its decision to cut production at its plants.The industry sources said top management of major players like Tata Steel, JSPL, ArcelorMittal Nippon Steel India (AMNS India) and state-owned SAIL and RINL are also discussing similar move.In many states, movement of raw material needed for Steel making is being impacted due to nationwide lockdown, they added.Employees in the industry are facing difficulties in reaching their offices."
12:35 PM,"Food home delivery services have been allowed, the delivery persons can show their ID cards that will be sufficient. Mohalla clinics will continue to function but with all precautions: Delhi CM Arvind Kejriwal  "
12:34 PM,"Retail sales suspended at Mangaluru central market In view of the heavy rush of people witnessed in the busy central market here to purchase groceries in the last two days, the Dakshina Kannada district administration has decided to suspend retail sales inside the market."
12:33 PM,"Odisha planning to set up second Covid-19 testing lab at Sambalpur hospital The state government is working out the modalities of setting up a Biosafety Levels 2 (BSL 2) laboratory at Veer Surendra Sai Institute of Medical Sciences and Research (VIMSAR), a senior official said on Thursday."
12:31 PM,PV Sindhu donates Rs 5 lakh each to Telangana and Andhra to fight COVID19 pandemic.  
12:31 PM,"Closing of religious places which attract gatherings is an important step to save a whole population: Shahid Choudhary, District Magistrate of Srinagar, Jammu & Kashmir  "
12:30 PM,Essential Services can now be open 24x7 in Delhi:  Lieutenant Governor of Delhi  
12:30 PM,"Indian banks plan most shut down most branches during lockdown : Sources India's central bank and major lenders are considering shutting down most branches across the country to prevent tens of thousands of employees from getting infected with the coronavirus, four sources familiar with the plan told Reuters."
12:26 PM,"Hundreds of people stranded at AP-Telangana checkpoints Hundreds of people were left stranded at various checkpoints on the Andhra Pradesh- Telangana borders since Wednesday night as authorities refused to let them into the state in view of the coronavirus lockdown, exposing the communication gap and lack of coordination between the authorities of the two States."
12:24 PM,Delhi Government to test all healthcare workers involved in the treatment of Coronavirus positive patients  
12:18 PM,"Kashmir: 48 people who came in contact with COVID-19 patient put in quarantine Forty-eight people, who had come in contact with the first coronavirus fatality in Kashmir, are in quarantine and authorities are in touch with the states visited by the man to track those who may have been infected by him, an official said on Thursday.The 65-year-old man, hailing from Hyderpora area of the city here, died on Thursday morning -- becoming the first fatality in Jammu and Kashmir due to coronavirus.Four of his contacts in the valley – all from north Kashmir's Bandipora district -- also tested positive on Wednesday.""The person attended religious gatherings in New Delhi, Deoband (in Uttar Pradesh), Jammu, Samba, Sopore and then he came back here (Srinagar) and was admitted to a chest diseases hospital where he expired,"" Director, Health Services, Kashmir, Samir Matoo told PTI."
12:11 PM,Four new COVID-19 cases in Guj; tally rises to 43  
12:10 PM,Services of technical hands shall be allowed free movement: Gurugram Police  
12:07 PM,"Novartis works with life sciences companies to fight Covid-19 Novartis said it was working with a consortium of life sciences companies to accelerate the development, manufacture and delivery of vaccines, diagnostics, and treatments for Covid-19."
12:03 PM,"Four new COVID-19 cases reported in Lucknow Four new COVID-19 cases have been reported in Lucknow, taking the total tally of coronavirus cases in the state to above 40 on Thursday.A 21-year-old woman, whose parents had tested positive, a 32-year-old man with travel history to Dubai, a 33-year-old woman and a 39-year-old man tested positive for coronavirus, confirmed Dr. Sudhir Singh, Incharge, Isolation Ward, King George's Medical University in Lucknow."
11:54 AM,"WHO 'very much' sided with China on coronavirus: Trump US President Donald Trump has said that the World Health Organization has ""very much"" sided with China on coronavirus crisis, asserting that many people are unhappy with the global health agency and feel that ""it's been very unfair"".President Trump was responding to a question on allegations by Republican Senator Marco Rubio that the World Health Organization (WHO) showed ""favouritism"" to China.Congressman Michael McCaul, ranking member on the House Foreign Relations Committee, has questioned the integrity of the WHO's director Tedros Adhanom Ghebreyesus, saying ""that there were several red flags in his past with respect to his relationship with China.""""It (WHO) has been very very much sided with China. A lot of people are not happy about it,"" Trump told reporters at a White House news conference on Wednesday.Trump was asked if he agreed that the WHO showed favouritism and the US should re-explore its relationship with the health agency once the dust settles."
11:53 AM,"Coronavirus lockdown: Centre, state govts must provide relief package for poor BSP president Mayawati on Thursday asked the central and state governments to provide relief package for the poor and daily wage earners hit by the 21-day coronavirus lockdown. In a tweet in Hindi, the former Uttar Pradesh chief minister said: ""After effectively imposing the 21-day lockdown/curfew restrictions on 130 crore poor/working people of the country, the central and state government must provide a relief package for them so that they don't starve."""
11:53 AM,"Noida: Golfshire apartments in Sector 150 and Hotel Sandal Suit Sector in Sector 135 sealed till 10 am, 28th March  "
11:48 AM,Finance Minister Nirmala Sitharaman presser today  
11:47 AM,"COVID-19 crisis: J'khand to give 2 months' ration in advance Jharkhand Chief Minister Hemant Soren said his government has decided to provide two months ration in advance to the beneficiaries of the public distribution system, as the country entered the second day of the lockdown on Thursday to contain the coronavirus outbreak."
11:46 AM,Lava pays 20 per cent advance salary to factory workers  
11:42 AM,70-yr-old man COVID-19 patient dies in Gujarat; state toll reaches three: Officials  
11:39 AM,Cong MLA in Pondy booked for alleged violation of lockdown rules  
11:39 AM,"Over 500 Germans stranded in India flown back Over 500 German citizens stranded in India amid the nationwide lockdown were flown back to their homeland on Wednesday night, German Ambassador to India Walter J Lindner informed on Thursday.""Today's update on our repatriation efforts. First evacuation flight (A380) with 500+ people left last night. Second one to be airborne tonight. Thanks also to the Indian authorities for the great cooperation!"" Lindner tweeted."
11:38 AM,"Three COVID-19 cases in Goa; patients stable: Official Three persons, all with foreign travel history, tested positive for coronavirus in Goa on Wednesday, as the tourist haven joined the states which have reported COVID-19 cases."
11:34 AM,"5 more test positive for coronavirus in Indore; total cases rise to 10 With five more people testing positive for coronavirus in Indore, the total number of cases in the city has risen to 10, health officials said on Thursday.The five patients -- two women and three men -- were admitted in different hospitals of the city and tested positive on late Wednesday night, a spokesperson of the Mahatma Gandhi Memorial Medical College said."
11:33 AM,"COVID-19: Cong chief Sonia Gandhi writes to PM; supports 21-day lockdown, seeks measures to protect doctors, paramedics and ease supply chain.  "
11:33 AM,"Indian students currently in Pakistan should observe precautions against Covid-19 and stay safe. They may contact High Commission at 03028514549: High Commission of India, Islamabad  "
11:32 AM,Defence Minister Rajnath Singh chairs a review meeting on Coronavirus preparedness  
11:26 AM,"52 pilgrims from Bihar, UP stuck in Rameswaram, Tamil Nadu due to lockdown The arrangements for their stay have been made at the Gujarat Bhawan and their food and other needs are being looked after by the managers of the institution along with the district president of BJP, K Muralitharan."
11:24 AM,"Colombia goes into lockdown, Chile extends school closures  "
11:23 AM,"Coronavirus suspect with no travel history dies in Indore A 47-year-old man, admitted at the government hospital here as a coronavirus suspect, died on Thursday, health officials said. His test reports are awaited, the officials said.The man was earlier treated at the Ujjain civil hospital and was admitted to the Indore hospital on Wednesday with symptoms of breathlessness, the official said.The patient did not have a travel history, he added."
11:22 AM,"Till now, 43 positive cases of Coronavirus have been detected in the state: Gujarat Principal Secretary, Health and Family Welfare Jayanti Ravi  "
11:20 AM,"ICMR invites quotations from manufacturers for supply of COVID-19 test kits The move comes in the wake of the number of coronavirus cases crossing the 600 mark in the country with 13 deaths recorded so far.Any manufacturer with an Indian-based supplier can submit quotations by Thursday 2.30 pm, the ICMR said.The kits have to be supplied to the ICMR's regional facilities at Mumbai, Delhi, Dibrugarh, Chennai, Hyderabad and Bhopal.The ICMR has asked the kit manufacturers to quote the prices of the kits, along with the number of tests that can be performed with one kit. It has also sought to know the timeline for the supply of the seven lakh kits."
11:15 AM,MCA officials to work from home for the next 21 days  
11:12 AM,Coronavirus suspect dies at Indore hospital; test result awaited: Official  
11:11 AM,"A 65-year-old woman from Mumbai who tested positive for Coronavirus, passes away; cause of death yet to be ascertained: Maharashtra Health Department  "
11:08 AM,"Airbus says reducing wing production for three weeks Airbus SE is reducing the production of aircraft wings for three weeks as it slows operations to put in place extra health and safety measures due to the coronavirus pandemic, the planemaker said on Thursday."
11:05 AM,"No new Covid-19 positive cases in Andhra Pradesh, according to the morning medical bulletin. The total number of cases in the state stand at 10, with results of 33 more awaited.  "
11:04 AM,"Number of confirmed coronavirus cases in Germany rises to 36,508, deaths to 198 - RKI health institute  "
11:00 AM,Social distancing seen during a govt meeting in UP  
10:59 AM,Covid-19 cases rise to six in Chhattisgarh  
10:58 AM,"Russia to ground international flights on March 27 due to coronavirus he Russian government has ordered the civil aviation authority to suspend all regular and charter flights to and from Russia from March 27, the government said on its website."
10:51 AM,Will conduct special flight from Delhi to Jodhpur on Sunday to take Indians who have returned from Iran to govt quarantine facility: SpiceJet  
10:51 AM,"Leather exporters seek immediate support from govt: CLE Seeking immediate support from the government, Council of Leather Exports (CLE) on Thursday said shipment orders worth USD 1 billion (around Rs 7,600 crore) was cancelled in the last one week on account of coronavirus spread."
