,geo,tweet,user_handle,location,cleaned_tweets
14,,"RT @SloopJontyB: During my time in the Submarine Service, I - along with many others - endured many weeks and months cooped up in a steel t…",tenajtiger,"London, England", during my time in the submarine service i along with many others endured many weeks and months cooped up in a steel t
15,,"RT @ObsoleteDogma: Well, it was what we thought: My wife and I both tested positive for COVID-19.

We’re staying vigilant, but thankfully w…",cherylcswanson,"Denver, CO", well it was what we thought my wife and i both tested positive for covid we re staying vigilant but thankfully w
16,,"RT @LouisianaGov: Today, I am issuing a statewide Stay at Home order that goes into effect at 5 p.m. Monday, March 23, to further fight the…",madebymarcoalex,"New Orleans, LA", today i am issuing a statewide stay at home order that goes into effect at p m monday march to fuher fight the
17,,"RT @seungminkim: During the Senate GOP lunch today, Moran told colleagues that Rand was at the gym this morning, per two sources briefed on…",JNRutherford,"Chicago, IL", during the senate gop lunch today moran told colleagues that rand was at the gym this morning per two sources briefed on
18,,RT @AdamFriedland: My cousin works at the pentagon and he told me there’s a viral pandemic going around called the COVID-19,swimjam78,"Cleveland, OH", my cousin works at the pentagon and he told me there s a viral pandemic going around called the covid
19,,"I have only one thing to say to Rand Paul testing positive for COVID-19:  Go, Darwin, go!!!",KizuKatana,Hell and back,i have only one thing to say to rand paul testing positive for covid go darwin go
20,,"RT @seungminkim: During the Senate GOP lunch today, Moran told colleagues that Rand was at the gym this morning, per two sources briefed on…",lunarholes,john cena’s balcony , during the senate gop lunch today moran told colleagues that rand was at the gym this morning per two sources briefed on
21,,"If the Principals are finding it hard to close and stop these risky gatherings, we are willing to assist swiftly.… https://t.co/vxxcajPkKL",Zinasuzim,Zimbabwe,if the principals are finding it hard to close and stop these risky gatherings we are willing to assist swiftly
22,,"RT @PadraigBelton: People all around Ireland are lighting candles in their windows  tonight, in solidarity with those with #Covid_19, with…",StandardsUphold,United Kingdom, people all around ireland are lighting candles in their windows tonight in solidarity with those with covid with
23,,RT @EuphoricMess: Just a reminder for those selfish cunts who think they won't be affected by this. One Liverpool hospital is preparing the…,invernessred,"Inverness, Scotland", just a reminder for those selfish cunts who think they won t be affected by this one liverpool hospital is preparing the
24,,RT @myfriendmaese: covid 19 = best senior prank ever 😎,AlexanderRoutt,"Rowlett, TX", covid best senior prank ever
25,,RT @HeidiNBC: 👉🏻Paul was at the Senate gym and swimming in the pool the morning he got his COVID-19 results back.,peburns,🇨🇦The Great White North🇨🇦, paul was at the senate gym and swimming in the pool the morning he got his covid results back
26,,RT @MichaelCoudrey: NEW DATA: A French study has demonstrated evidence that the combination of Hydroxychloroquine &amp; Azithromycin are highly…,DemarkusDickey,, new data a french study has demonstrated evidence that the combination of hydroxychloroquine azithromycin are highly
27,,RT @CarolRadull: Former Real Madrid president Lorenzo Sanz has died of Covid-19. #TheScoreKE #coronavirusinKenya https://t.co/CjrvD26akF,BlackLiberatio4,kikuyu, former real madrid president lorenzo sanz has died of covid thescoreke coronavirusinkenya
28,,RT @ligaptdadepre: Dybala com Covid-19 https://t.co/W7iNKIdKFj,AKIG2002,, dybala com covid
29,,RT @francesleach_: Cuban doctors arriving into Italy to support the fight against Covid-19. Throughout most pandemics of the 21st century C…,lukslima__,"Fortaleza, Brazil", cuban doctors arriving into italy to suppo the fight against covid throughout most pandemics of the st century c
30,,"RT @thisisrory: I can appreciate everyone taking this seriously, but I’m not sure I need a mass email from every CEO of a company that I bo…",AndyLeeSwagger,"North Carolina, USA", i can appreciate everyone taking this seriously but i m not sure i need a mass email from every ceo of a company that i bo
31,,"RT @stephphilip8: ""CRAMER PRAISES TRUMP FOR INVOLVING PRIVATE SECTOR IN CORONAVIRUS RESPONSE""
""This is not a bunch of bureaucrats who are s…",chilllingwithme,at home in England 🇬🇧🇬🇧, cramer praises trump for involving private sector in coronavirus response this is not a bunch of bureaucrats who are s
32,,There are two cases of COVID-19 in my very small hometown and I just want to yell at all of my family members to stay tf home,postgradKayls,"Oklahoma, USA",there are two cases of covid in my very small hometown and i just want to yell at all of my family members to stay tf home
33,,RT @AliNaqvi808: Islamabad United is supporting Government’s @Covid_19 initiative by donating it  Rs 1 million to the Government’s CoronaVi…,Murziee,Faraway Downs, islamabad united is suppoing government s initiative by donating it rs million to the government s coronavi
34,,RT @francesleach_: Cuban doctors arriving into Italy to support the fight against Covid-19. Throughout most pandemics of the 21st century C…,BigHeadedDumDum,"Los Angeles, California", cuban doctors arriving into italy to suppo the fight against covid throughout most pandemics of the st century c
35,,"RT @SiouxsieW: Heard of #FlattenTheCurve &amp; #StopTheSpread? Well, this is the graphic everyone needs to understand. We all have to change ou…",Eaglemeh,"Oklahoma, USA", heard of flattenthecurve stopthespread well this is the graphic everyone needs to understand we all have to change ou
36,,@char_des @NEWS1130 @ParkBoard Taking measures on a day by day basis to see if people will do it isn't getting ahea… https://t.co/yvr5RLyWmS,Milz_83,,des taking measures on a day by day basis to see if people will do it isn t getting ahea
37,,RT @AdamFriedland: My cousin works at the pentagon and he told me there’s a viral pandemic going around called the COVID-19,empolz,nc, my cousin works at the pentagon and he told me there s a viral pandemic going around called the covid
38,,"Knowing that the State continues to fail Black communities, we know these racial inequities will only be exacerbate… https://t.co/azZHGySWdO",crc_accomplices,"Oakland, CA",knowing that the state continues to fail black communities we know these racial inequities will only be exacerbate
39,,"RT @OfficialJoelF: LATEST FLORIDA COVID-19 NUMBERS (as of 11 AM):

Total: 830 (768 residents; 62 non residents)
- Miami-Dade: 177
- Broward…",hellotothelinzo,"Miami Beach, FL", latest florida covid numbers as of am total residents non residents miami dade broward
40,,"RT @TheRynheart: ‘House Speaker Nancy Pelosi says there is 'no deal' on coronavirus stimulus package’

‘McConnell's proposal does not offer…",rxmhm,Hoonan china, house speaker nancy pelosi says there is no deal on coronavirus stimulus package mcconnell s proposal does not offer
41,,RT @MichaelCoudrey: NEW DATA: A French study has demonstrated evidence that the combination of Hydroxychloroquine &amp; Azithromycin are highly…,fredy8aheredia,, new data a french study has demonstrated evidence that the combination of hydroxychloroquine azithromycin are highly
42,,"RT @LeeDuffy7: As some of you may or may not know, I tested positive for Covid-19 two weeks ago. I spent 8 days in hospital hooked up to ox…",darcygreaves,"Leeds, England", as some of you may or may not know i tested positive for covid two weeks ago i spent days in hospital hooked up to ox
43,,"RT @CTVNews: 'More and more penalties if people don't listen' to public health directives aimed at stopping COVID-19, Hajdu says https://t.…",GeorgeMercier3,"Alberta, Canada", more and more penalties if people don t listen to public health directives aimed at stopping covid hajdu says
44,,"RT @LucasFoxNews: US Navy says 7 additional sailors in San Diego tested positive for covid-19 in recent days. 

US defense official says ne…",Weiss1Matthew,, us navy says additional sailors in san diego tested positive for covid in recent days us defense official says ne
45,,Hang in there... Scientists warn we may need to live with social distancing for a year or more  #COVIDー19 #Covid_19… https://t.co/HQNk2C1LLv,MiguelRivera_01,"Toronto, Canada",hang in there scientists warn we may need to live with social distancing for a year or more covid covid
46,,RT @Owen_1906: BREAKING NEWS: Covid-19 immediately leaves England after seeing this terrifying flag,lmarthomps,London, breaking news covid immediately leaves england after seeing this terrifying flag
47,,"RT @MartinRemains: In about 2 weeks U.K. deaths from COVID-19 are likely to be about one thousand a day. 

Govt, please, for God’s sake we…",grumpyoldmale1,"England, United Kingdom", in about weeks u k deaths from covid are likely to be about one thousand a day govt please for god s sake we
48,,"RT @AugieNash: I'm at Sam's Club

Older couple in 70's checking out

Cashier asks if they found everything they needed

Lady said no - need…",leesuzanbaker,"Florida, USA", i m at sam s club older couple in s checking out cashier asks if they found everything they needed lady said no need
49,,"RT @AugieNash: I'm at Sam's Club

Older couple in 70's checking out

Cashier asks if they found everything they needed

Lady said no - need…",Buffalo6363,USA, i m at sam s club older couple in s checking out cashier asks if they found everything they needed lady said no need
50,,RT @christufton: There are NO confirmed cases of Covid-19 amongst health care workers in Jamaica.,Agreewithsegree,"St Ann, Jamaica ", there are no confirmed cases of covid amongst health care workers in jamaica
51,,"RT @t3rr3z: After COVID-19 is over, I better NEVER hear anyone trash ""low end"" workers again. Those people at the grocery store, the Dollar…",jongdaddu,"Columbus, GA", after covid is over i better never hear anyone trash low end workers again those people at the grocery store the dollar
52,,"RT @superfriendlyco: If you're an illustrator looking for some freelance work due to COVID-19, we'd like to help. We'd like to commission 1…",kyleexpress,"Virginia, USA", if you re an illustrator looking for some freelance work due to covid we d like to help we d like to commission
53,,RT @francesleach_: Cuban doctors arriving into Italy to support the fight against Covid-19. Throughout most pandemics of the 21st century C…,sucmycocc,"New Jersey, USA", cuban doctors arriving into italy to suppo the fight against covid throughout most pandemics of the st century c
54,,"There is always hope and rainbows

https://t.co/jjsJ7NiN8t

#StayHomeSaveLives 

#StaySafeStayHome… https://t.co/QNQip6WSaY",OhMikiBee,,there is always hope and rainbows stayhomesavelives staysafestayhome
55,,"RT @_fels1: From where I’m seated, I can hear some sheep shouting their lungs out in Church, asking their god to intervene in this Covid-19…",kinyuapsheila,"Embu, Kenya", fels from where i m seated i can hear some sheep shouting their lungs out in church asking their god to intervene in this covid
56,,"RT @jaketapper: TAMPA, Fl. (WFLA) — Five University of Tampa students are recovering after testing positive for COVID-19 during spring brea…",katie_mccaughan,Home / The Internet, tampa fl wfla five university of tampa students are recovering after testing positive for covid during spring brea
57,,"RT @costaggini: no..
one...

cleans like Gaston
quarantines like Gaston
no one stops spreading COVID-19 like Gaston",graziapcn,she/her 🖤🤍💜, no one cleans like gaston quarantines like gaston no one stops spreading covid like gaston
58,,RT @maxwalden_: A terrifying prospect: Covid-19 could live on in Indonesia long after world recovers https://t.co/S5gaJmQkDF,yogisblitar,"Bima, NTB", a terrifying prospect covid could live on in indonesia long after world recovers
59,,"RT @briantylercohen: Cuban doctors get a standing ovation as they arrive at an airport in Italy to help fight COVID-19.
https://t.co/Qa7ulh…",bamdayo,"Ibadan, Nigeria", cuban doctors get a standing ovation as they arrive at an airpo in italy to help fight covid
60,,"RT @MarcACaputo: Florida pol (Okeechobee Co. Commish Bryant Culpepper) said blowing a hairdryer up your nose can help fight coronavirus

He…",Llamamama85,"Madison County, Alabama, USA", florida pol okeechobee co commish bryant culpepper said blowing a hairdryer up your nose can help fight coronavirus he
61,,"RT @BendyBen999: Attended a patient at home. Strong COVID -19 symptoms. Full assessment. Left her at home. Lengthy advice re isolation, the…",akspro,, attended a patient at home strong covid symptoms full assessment left her at home lengthy advice re isolation the
62,,"RT @BDUTT: ""Tatas &amp; Birlas must manufacture ventilators on war footing. It can be done.  Stadiums should be kept aside as shelters with 50,…",acsrivastav1,allahabad, tatas birlas must manufacture ventilators on war footing it can be done stadiums should be kept aside as shelters with
63,,RT @RandPaul: Senator Rand Paul has tested positive for COVID-19. He is feeling fine and is in quarantine. He is asymptomatic and was teste…,mcdon_s,, senator rand paul has tested positive for covid he is feeling fine and is in quarantine he is asymptomatic and was teste
64,,RT @S11E11B11A: Italy urges all other countries to see this and completely lockdown before it’s too late. 💔#Covid19InSA #Covid_19 https://t…,LesufiDlaishego,, italy urges all other countries to see this and completely lockdown before it s too late covid insa covid
65,,RT @AdamFriedland: My cousin works at the pentagon and he told me there’s a viral pandemic going around called the COVID-19,don_youngman,"Newport Beach, CA", my cousin works at the pentagon and he told me there s a viral pandemic going around called the covid
66,,"RT @BendyBen999: Attended a patient at home. Strong COVID -19 symptoms. Full assessment. Left her at home. Lengthy advice re isolation, the…",adribean,New Hampshire, attended a patient at home strong covid symptoms full assessment left her at home lengthy advice re isolation the
67,,"RT @pinoykidsdoc: Today we lost 2 colleagues,
A young adult cardiology fellow &amp; a medical oncologist due to COVID-19 .

We pause to pray fo…",DracoGranger,probably in bed. blm. no dms., today we lost colleagues a young adult cardiology fellow a medical oncologist due to covid we pause to pray fo
68,,RT @MichaelGarboduk: @AmberD1116 I assume that they'll be feebly singing a different tune between ragged attempts to suck in air when they…,trumpretweeter,v.1.1, i assume that they ll be feebly singing a different tune between ragged attempts to suck in air when they
69,,@taidrus @EoceanEm @PTAofficialpk Why don't you create website with details of #COVID_19 patients name and location… https://t.co/ITb7jL9xag,imran2943shah,"Lahore, Pakistan",why don t you create website with details of covid patients name and location
70,,RT @vaitor: Korea finished developing the 10 minute Covid-19 diagnostic kit and is now ramping up production. They plan to export 300.000 t…,Anacom_Global,Nigeria, korea finished developing the minute covid diagnostic kit and is now ramping up production they plan to expo t
71,,RT @WHO: WHO Health Alert brings COVID-19 facts to billions via WhatsApp 👉https://t.co/NiHHv2gzhU https://t.co/uiDbPTHKZa,Lawrence_waf,"Nairobi, Kenya", who health ale brings covid facts to billions via whatsapp
72,,"RT @flemingjude: I spent my Sunday thinking about Torture, Gina Haspel, Julian Assange and the UK's hand in his slow assassination. @wikile…",PhilipStolkin,"Zürich, Schweiz", i spent my sunday thinking about toure gina haspel julian assange and the uk s hand in his slow assassination
73,,@doctorpandaman Glad you got checked out. Glad it's not COVID-19. Please keep tweeting so I know you're ok.,VanFitz,Vancouver BC,glad you got checked out glad it s not covid please keep tweeting so i know you re ok
74,,"RT @Farbod_E: This is why the beaches haven't closed in Florida, and why they've had minimal COVID-19 prevention. Absolute dysfunction. htt…",Pillowesque,I'm @sleepyimouto 's #1 fan ^^, e this is why the beaches haven t closed in florida and why they ve had minimal covid prevention absolute dysfunction htt
75,,"RT @hashemasa: Mr President @realDonaldTrump ,
Crazy Khamanei claims that Covid-19 generated by the US.
What’s your response?

#KhameneiVir…",chavilom,, mr president crazy khamanei claims that covid generated by the us what s your response khameneivir
76,,"RT @BendyBen999: Attended a patient at home. Strong COVID -19 symptoms. Full assessment. Left her at home. Lengthy advice re isolation, the…",bsuen1974,"Belfast, Emerald Isle ", attended a patient at home strong covid symptoms full assessment left her at home lengthy advice re isolation the
77,,"RT @swingleft: Senator Rand Paul voted against last week’s COVID-19 aid package. But unlike many American workers, he gets paid sick leave…",Chickesh,Johannesburg, senator rand paul voted against last week s covid aid package but unlike many american workers he gets paid sick leave
78,,@nhprman @lraitt She doesn't 'have' covid-19 for certain. She was in contact with someone who then tested positive.… https://t.co/FkmEiFjwGN,lukascph,,she doesn t have covid for ceain she was in contact with someone who then tested positive
79,,"RT @dustin_SFA: My wife and I pastor a church in Sheridan, Arkansas. We have struggled to have children, but today my wife is 13 weeks. We…",VanessaHammond4,, sfa my wife and i pastor a church in sheridan arkansas we have struggled to have children but today my wife is weeks we
80,,"RT @costaggini: no..
one...

cleans like Gaston
quarantines like Gaston
no one stops spreading COVID-19 like Gaston",Adelle_Adelaide,Česká republika, no one cleans like gaston quarantines like gaston no one stops spreading covid like gaston
81,,RT @francesleach_: Cuban doctors arriving into Italy to support the fight against Covid-19. Throughout most pandemics of the 21st century C…,MS_KIARADELGADO,"Massachusetts, USA", cuban doctors arriving into italy to suppo the fight against covid throughout most pandemics of the st century c
82,,"RT @ashtonpittman: Mississippi Gov. Tate Reeves “has no intention"" of closing the state's beaches ""nor anywhere else"" due to #COVID19 curre…",Colby_hale,Dark Side Of The Moon, mississippi gov tate reeves has no intention of closing the state s beaches nor anywhere else due to covid curre
83,,"RT @dkbghana: Please clap for robotics students of Obuasi secondary technical school, when grown ups like Knust and Legon were jumping up a…",Vandal_pizzosta,Kassland , please clap for robotics students of obuasi secondary technical school when grown ups like knust and legon were jumping up a
84,,"RT @AdiBacelar: After this is all over, please remember in future job interviews to ask them what their company did to protect their employ…",Gremlin_Lau,"Scotland, United Kingdom", after this is all over please remember in future job interviews to ask them what their company did to protect their employ
85,,RT @francesleach_: Cuban doctors arriving into Italy to support the fight against Covid-19. Throughout most pandemics of the 21st century C…,DarthBravo_,L.A. to Irvine , cuban doctors arriving into italy to suppo the fight against covid throughout most pandemics of the st century c
86,,"RT @BendyBen999: Attended a patient at home. Strong COVID -19 symptoms. Full assessment. Left her at home. Lengthy advice re isolation, the…",strawberrygothc,, attended a patient at home strong covid symptoms full assessment left her at home lengthy advice re isolation the
87,,"RT @briantylercohen: Cuban doctors get a standing ovation as they arrive at an airport in Italy to help fight COVID-19.
https://t.co/Qa7ulh…",Ahlahria,, cuban doctors get a standing ovation as they arrive at an airpo in italy to help fight covid
88,,"RT @CMShehbaz: On the basis of my meetings with public health experts, party leaders &amp; public feedback I am of the considered opinion that…",MariaSaman3,"Lahore, Pakistan", on the basis of my meetings with public health expes pay leaders public feedback i am of the considered opinion that
89,,RT @narendramodi: The streets are empty but the resolve to fight COVID-19 is full. #JantaCurfew,RWWTLM,India, the streets are empty but the resolve to fight covid is full jantacurfew
90,,"RT @AugieNash: I'm at Sam's Club

Older couple in 70's checking out

Cashier asks if they found everything they needed

Lady said no - need…",noah_smothers,, i m at sam s club older couple in s checking out cashier asks if they found everything they needed lady said no need
91,,"RT @TorontoStar: #Breaking: At least thirteen Toronto health care professionals — doctors, nurses and long term care workers — have tested…",isho_sandy,Toronto Ontario, breaking at least thieen toronto health care professionals doctors nurses and long term care workers have tested
92,,"RT @MarisaKabas: Not only is @RandPaul a profound asshole, he exposed every single one of his senate colleagues, their staffs, and employee…",Carodub1,, not only is a profound asshole he exposed every single one of his senate colleagues their staffs and employee
93,,"RT @briantylercohen: Cuban doctors get a standing ovation as they arrive at an airport in Italy to help fight COVID-19.
https://t.co/Qa7ulh…",minniecactustt,Florida, cuban doctors get a standing ovation as they arrive at an airpo in italy to help fight covid
94,,"RT @IgpLadakh: Supporting  Janta Curfew #It's   not curfew,it's care for you#Stay home,stay safe@#Lets fight together#COVID-19@ District Po…",uday15111956,GZB , suppoing janta curfew it s not curfew it s care for you stay home stay safe lets fight together covid district po
95,,"RT @NaijaFlyingDr: Cuban doctors as always

Cuban doctors arriving into Italy to support the fight against Covid-19. Throughout most pandem…",tantafizzle,Another Realm!!!, cuban doctors as always cuban doctors arriving into italy to suppo the fight against covid throughout most pandem
96,,"RT @dustin_SFA: My wife and I pastor a church in Sheridan, Arkansas. We have struggled to have children, but today my wife is 13 weeks. We…",alpvt05,, sfa my wife and i pastor a church in sheridan arkansas we have struggled to have children but today my wife is weeks we
97,,"RT @rachel_herzog: Working a Sunday shift for @ArkansasOnline to help with covid-19 coverage, so if there's anything going on that you thin…",DCW4Arkansas,"Arkansas, USA", herzog working a sunday shift for to help with covid coverage so if there s anything going on that you thin
98,,RT @TraderJoesUnion: We received information that a Trader Joe’s crewmember tested positive for COVID-19. The Captain allegedly told crew t…,The_Black_Jane,"Fort Worth, TX", we received information that a trader joe s crewmember tested positive for covid the captain allegedly told crew t
99,,RT @urennalexa: COVID-19 is temporary. Drip is forever 👌🏽,ZuluZaire,"London, England", covid is temporary drip is forever
100,,"RT @Nelba_MG: If the numbers are accurate, many of us will know someone whose life has been altered by the loss of a loved one from Covid-1…",sarakvos,, mg if the numbers are accurate many of us will know someone whose life has been altered by the loss of a loved one from covid
101,,"RT @seungminkim: During the Senate GOP lunch today, Moran told colleagues that Rand was at the gym this morning, per two sources briefed on…",WokeSistah,Earth, during the senate gop lunch today moran told colleagues that rand was at the gym this morning per two sources briefed on
102,,RT @honeydreamer: Inna lillahi wa inna ilayhi raji'un can you please make duaas for my grandfather who passed away due to Covid-19 please,Rikesh252,, inna lillahi wa inna ilayhi raji un can you please make duaas for my grandfather who passed away due to covid please
103,,"RT @AaronBastani: Covid-19 isn’t Al Qaeda, or the Red Army Faction. You can’t overwhelm it with a bayonet charge or a ‘mind over matter’ at…",GrahamHardwick,, covid isn t al qaeda or the red army faction you can t overwhelm it with a bayonet charge or a mind over matter at
104,,RT @francesleach_: Cuban doctors arriving into Italy to support the fight against Covid-19. Throughout most pandemics of the 21st century C…,Robertohhhh,, cuban doctors arriving into italy to suppo the fight against covid throughout most pandemics of the st century c
105,,Are we doing enough to fight COVID-19? How to get a flight refund: CBC’s Marketplace consumer cheat sheet… https://t.co/CmxQJUoEZG,TvInternet2,"Illinois, USA",are we doing enough to fight covid how to get a flight refund cbc s marketplace consumer cheat sheet
106,,"RT @AugieNash: I'm at Sam's Club

Older couple in 70's checking out

Cashier asks if they found everything they needed

Lady said no - need…",Tiffany11308238,"Montebello, CA", i m at sam s club older couple in s checking out cashier asks if they found everything they needed lady said no need
107,,"Though the hugs will have to wait, there are ways to gather for group grieving (online, later or in very small numb… https://t.co/b98YlgEVOA",SolaceCares,"Portland, OR and Seattle, WA",though the hugs will have to wait there are ways to gather for group grieving online later or in very small numb
108,,"RT @AmJoseh: People are criticizing because hate now.

Yes,prayers won't cure Covid-19 but the same book that you're criticizing for tellin…",jeffatee,, people are criticizing because hate now yes prayers won t cure covid but the same book that you re criticizing for tellin
109,,"backup plans that could have permanent consequences

https://t.co/WRS1UbgGx4",McenrueJames,The Big Apple,backup plans that could have permanent consequences
110,,RT @bobehayes: My 96-year-old mom tested positive for #Covid_19. She's got a cough and slight fever. Her nursing home is under quarantine;…,DiedreKazmer,, my year old mom tested positive for covid she s got a cough and slight fever her nursing home is under quarantine
111,,A temporary hub of information and tools to help teachers during the coronavirus (COVID-19) crisis. https://t.co/fIelVbWTnk,lennylibitz,"Jersey City, NJ",a temporary hub of information and tools to help teachers during the coronavirus covid crisis
112,,"RT @briantylercohen: Cuban doctors get a standing ovation as they arrive at an airport in Italy to help fight COVID-19.
https://t.co/Qa7ulh…",AngelandRick,, cuban doctors get a standing ovation as they arrive at an airpo in italy to help fight covid
113,,"RT @jaketapper: TAMPA, Fl. (WFLA) — Five University of Tampa students are recovering after testing positive for COVID-19 during spring brea…",soltysik_rob,"Maryland, USA", tampa fl wfla five university of tampa students are recovering after testing positive for covid during spring brea
114,,RT @NPR: Sen. Rand Paul is the first senator to test positive for COVID-19. He's also one of eight Republican senators who voted against a…,CactusViviYaYa,"Missoula, MT", sen rand paul is the first senator to test positive for covid he s also one of eight republican senators who voted against a
115,,RT @nailainayat: Gilgit-Baltistan doctor Usama who tested positive for Covid-19 and was on the ventilator for two days passes away. He was…,RRamapathi,, gilgit baltistan doctor usama who tested positive for covid and was on the ventilator for two days passes away he was
116,,"RT @GovMLG: New Mexico: it is absolutely essential that we all stay home in order to slow the spread of COVID-19.

The health of your commu…",lilithdarkmoon,New Mexico wilds, new mexico it is absolutely essential that we all stay home in order to slow the spread of covid the health of your commu
117,,RT @ranjona: Everyone who encouraged and enabled the senseless heroworship of #Modi is also responsible for today's crowds. You enabled thr…,charmsjem,, everyone who encouraged and enabled the senseless heroworship of modi is also responsible for today s crowds you enabled thr
118,,"RT @theworldindex: Coronavirus (COVID-19) deaths worldwide:

🇮🇹ITA: 5,476
🇨🇳CHN: 3,261
🇪🇸ESP: 1,756
🇮🇷IRI: 1,685
🇫🇷FRA: 674
🇺🇸USA: 412
🇬🇧GB…",juanpa279,"Dubai, United Arab Emirates", coronavirus covid deaths worldwide ita chn esp iri fra usa gb
119,,RT @KenyaAirways: We are temporarily suspending all international passenger services effective 25/03/2020 until further notice. We apologis…,Owiraowira,"Kisumu, Kenya", we are temporarily suspending all international passenger services effective until fuher notice we apologis
120,,"RT @dustin_SFA: My wife and I pastor a church in Sheridan, Arkansas. We have struggled to have children, but today my wife is 13 weeks. We…",stollyourcoke,, sfa my wife and i pastor a church in sheridan arkansas we have struggled to have children but today my wife is weeks we
121,,RT @john_danfulani: Las las his imperial majesty czar Buhari of Daura yielded to hyper pressure of his subjects &amp; reeled a few seconds spee…,fredvargas4,, danfulani las las his imperial majesty czar buhari of daura yielded to hyper pressure of his subjects reeled a few seconds spee
122,,"RT @SokoAnalyst: People in Croatia were asked to remain in their houses because of COVID-19

And then earthquake struck their homes and the…",RKathuka,Chicago USA, people in croatia were asked to remain in their houses because of covid and then eahquake struck their homes and the
123,,RT @matchu_chutrain: Why are conservatives so insistent on calling Covid-19 the Chinese virus? It’s not even like it saves them time typing…,bigmamaizhere,, chutrain why are conservatives so insistent on calling covid the chinese virus it s not even like it saves them time typing
124,,"The same Boko Haram that don't have Food, and rely on raiding poor villagers to feed their starving members apparen… https://t.co/wVerQrvNju",Ogbo_Emeka,"Enugu, Nigeria",the same boko haram that don t have food and rely on raiding poor villagers to feed their starving members apparen
125,,"RT @News24: UPDATE: President Ramaphosa’s address to the nation postponed to tomorrow | #CoronavirusinSA #Covid19inSA

https://t.co/PVEoJ0l…",Taydow_,Johannesburg EastRand, update president ramaphosa s address to the nation postponed to tomorrow coronavirusinsa covid insa
126,,"RT @Rainmaker1973: The same team that 3D printed ICU valves in Italy to overcome a parts shortage, now developed and tested a 3D printed ad…",fjp971,, the same team that d printed icu valves in italy to overcome a pas shoage now developed and tested a d printed ad
127,,RT @susan_pym: A very clear example of correct #SocialDistancing. Hugh Pym is 2 metres tall. This is what 2m looks like. #CoronaCrisisuk #C…,NatashaPolitics,"Edinburgh, Scotland", pym a very clear example of correct socialdistancing hugh pym is metres tall this is what m looks like coronacrisisuk c
128,,RT @thereisanocean: PUSH Fresh Scoop: Maine Mendoza sets up fund drive for employees affected by COVID-19 Luzon lockdown | https://t.co/Z7Z…,rand_fand,, push fresh scoop maine mendoza sets up fund drive for employees affected by covid luzon lockdown
